Candidate: 0xa9, Correlation: -0.050985641871080276
Candidate: 0x54, Correlation: -0.05096898679954413
Candidate: 0x3e, Correlation: -0.05077821750504176
Candidate: 0xe5, Correlation: -0.05064211111996396
Candidate: 0x33, Correlation: -0.05058570264591419
Candidate: 0x7d, Correlation: -0.05056541106755749
Candidate: 0xe0, Correlation: -0.05052458521658256
Candidate: 0x64, Correlation: -0.050422453635973516
Candidate: 0xec, Correlation: -0.05018257901776133
Candidate: 0xe, Correlation: -0.050174275708423435
Candidate: 0xed, Correlation: -0.05005876906164696
Candidate: 0x61, Correlation: -0.04981038244285461
Candidate: 0x2b, Correlation: -0.049806277608650355
Candidate: 0x22, Correlation: -0.0496874369871144
Candidate: 0xa6, Correlation: -0.049594823340758605
Candidate: 0x1e, Correlation: -0.04923395100022255
Candidate: 0x39, Correlation: -0.04913347327299676
Candidate: 0x66, Correlation: -0.04913178313551132
Candidate: 0xfd, Correlation: -0.04907850693757449
Candidate: 0x2e, Correlation: -0.0488172788114867
Candidate: 0xae, Correlation: -0.048621711584531
Candidate: 0x58, Correlation: -0.04860759745789364
Candidate: 0xcd, Correlation: -0.048333239648081706
Candidate: 0x3d, Correlation: -0.048197176879599866
Candidate: 0x47, Correlation: -0.048152981107580935
Candidate: 0x3c, Correlation: -0.04798723088114139
Candidate: 0x4c, Correlation: -0.047944919084703906
Candidate: 0x6d, Correlation: -0.047792458546017436
Candidate: 0xf9, Correlation: -0.04749835183333608
Candidate: 0x5c, Correlation: -0.047453433235749215
Candidate: 0x44, Correlation: -0.04721109739286923
Candidate: 0x3f, Correlation: -0.046902958477996894
Candidate: 0x4f, Correlation: -0.04655441626275629
Candidate: 0x3b, Correlation: -0.04643521923667776
Candidate: 0x67, Correlation: -0.04591989687028848
Candidate: 0x60, Correlation: -0.04574805182166297
Candidate: 0xf8, Correlation: -0.04557253707438201
Candidate: 0xab, Correlation: -0.04516694917532195
Candidate: 0x4d, Correlation: -0.04515471963699274
Candidate: 0x37, Correlation: -0.04506793178591392
Candidate: 0x5d, Correlation: -0.04464472322866445
Candidate: 0x38, Correlation: -0.043706639902793255
Candidate: 0x63, Correlation: -0.043441492309212994
Candidate: 0xfc, Correlation: -0.042477635254618853
