Candidate: 0x79, Correlation: -0.05000052052122656
Candidate: 0x73, Correlation: -0.04991878584988412
Candidate: 0xce, Correlation: -0.04989527242736272
Candidate: 0x3e, Correlation: -0.049877098328956954
Candidate: 0xd8, Correlation: -0.04981254565869266
Candidate: 0x38, Correlation: -0.049770695756883414
Candidate: 0x80, Correlation: -0.049543295856093475
Candidate: 0x97, Correlation: -0.04919314100493488
Candidate: 0xf8, Correlation: -0.04917885068305442
Candidate: 0x48, Correlation: -0.049075164417260494
Candidate: 0xe0, Correlation: -0.04891986623595672
Candidate: 0xc0, Correlation: -0.04890712804166866
Candidate: 0x28, Correlation: -0.04878185094538506
Candidate: 0x11, Correlation: -0.04876668670281511
Candidate: 0x1b, Correlation: -0.04858195372914449
Candidate: 0xe4, Correlation: -0.048394730022026065
Candidate: 0x65, Correlation: -0.048384742290140934
Candidate: 0xf0, Correlation: -0.04833046681809495
Candidate: 0x45, Correlation: -0.04814641049166871
Candidate: 0xc, Correlation: -0.048134793161700044
Candidate: 0x7f, Correlation: -0.04812622314843869
Candidate: 0x70, Correlation: -0.04798076152048374
Candidate: 0xcc, Correlation: -0.047869923807467664
Candidate: 0xec, Correlation: -0.047798554313572744
Candidate: 0x40, Correlation: -0.04777469378579027
Candidate: 0x6e, Correlation: -0.04774315877711971
Candidate: 0xbd, Correlation: -0.047741590487715015
Candidate: 0x81, Correlation: -0.047539130308927605
Candidate: 0xcf, Correlation: -0.04747518381664937
Candidate: 0x83, Correlation: -0.04745325777690681
Candidate: 0x3f, Correlation: -0.047270412758936085
Candidate: 0x8f, Correlation: -0.047218743807674865
Candidate: 0x98, Correlation: -0.04702254786053441
Candidate: 0x4d, Correlation: -0.04699950366264814
Candidate: 0xf3, Correlation: -0.046991446737472846
Candidate: 0x18, Correlation: -0.04698867866474458
Candidate: 0xfb, Correlation: -0.04687745507773663
Candidate: 0xdd, Correlation: -0.04681155145000841
Candidate: 0xd9, Correlation: -0.0465879761882931
Candidate: 0x5d, Correlation: -0.04649301632807865
Candidate: 0x12, Correlation: -0.04634963572900771
Candidate: 0x47, Correlation: -0.04623788651087792
Candidate: 0xef, Correlation: -0.046230928433406135
Candidate: 0xbf, Correlation: -0.04622509277352472
Candidate: 0x8c, Correlation: -0.046182644161546924
Candidate: 0x4e, Correlation: -0.04609941837630861
Candidate: 0xf5, Correlation: -0.04609762936087867
Candidate: 0x26, Correlation: -0.04609382546236153
Candidate: 0xc3, Correlation: -0.04604471989316335
Candidate: 0x41, Correlation: -0.04601094772758886
Candidate: 0x22, Correlation: -0.046007490408100676
Candidate: 0x3, Correlation: -0.045920457500573414
Candidate: 0x75, Correlation: -0.04585693743092045
Candidate: 0x57, Correlation: -0.045826960631511024
Candidate: 0x55, Correlation: -0.04575314584357422
Candidate: 0xdb, Correlation: -0.045544750402108834
Candidate: 0x1, Correlation: -0.04553034359137766
Candidate: 0xd3, Correlation: -0.045444785033648696
Candidate: 0x6d, Correlation: -0.044907405469697216
Candidate: 0x50, Correlation: -0.04460945698227828
Candidate: 0xd7, Correlation: -0.04456861739933472
Candidate: 0x17, Correlation: -0.0435570023407442
Candidate: 0x64, Correlation: -0.04344938814224513
Candidate: 0xf7, Correlation: -0.04342851547750695
Candidate: 0x58, Correlation: -0.04284292821075318
Candidate: 0xed, Correlation: -0.04275221074936326
Candidate: 0x27, Correlation: -0.042293952486853345
Candidate: 0x15, Correlation: -0.041856479280236364
Candidate: 0xd0, Correlation: -0.040527086295589564
