Candidate: 0xd, Correlation: -0.04293290075608643
Candidate: 0xfd, Correlation: -0.04292271279657684
Candidate: 0x83, Correlation: -0.0429083755654627
Candidate: 0x4e, Correlation: -0.04281524311170534
Candidate: 0x5d, Correlation: -0.04279174431383092
Candidate: 0x31, Correlation: -0.04269181309260454
Candidate: 0x74, Correlation: -0.04263682194094815
Candidate: 0x60, Correlation: -0.042601535802565156
Candidate: 0x17, Correlation: -0.042456483936795616
Candidate: 0x87, Correlation: -0.042448966792354284
Candidate: 0xc0, Correlation: -0.04230081259143923
Candidate: 0xd3, Correlation: -0.0422223030479715
Candidate: 0x35, Correlation: -0.04221393680546295
Candidate: 0x5f, Correlation: -0.04212951101669433
Candidate: 0xff, Correlation: -0.04206276680758855
Candidate: 0x3c, Correlation: -0.04195110478468402
Candidate: 0x65, Correlation: -0.04194871434868508
Candidate: 0x50, Correlation: -0.041635232822261475
Candidate: 0x4c, Correlation: -0.041560173808713595
Candidate: 0x4f, Correlation: -0.04151393565303157
Candidate: 0xd7, Correlation: -0.04118521631806126
Candidate: 0x13, Correlation: -0.041156802269522744
Candidate: 0xfb, Correlation: -0.041154058891575196
Candidate: 0x14, Correlation: -0.04111406027982535
Candidate: 0xdb, Correlation: -0.04090941244975354
Candidate: 0x77, Correlation: -0.04036569854948833
Candidate: 0xb5, Correlation: -0.04035863308676529
Candidate: 0x3b, Correlation: -0.04021567012709749
Candidate: 0x55, Correlation: -0.04018658491725416
Candidate: 0x76, Correlation: -0.04015517849785648
Candidate: 0xf6, Correlation: -0.04001052738953363
Candidate: 0x3, Correlation: -0.03993592268857158
Candidate: 0x3e, Correlation: -0.03990711394468605
Candidate: 0x8f, Correlation: -0.03976019706221315
Candidate: 0x5b, Correlation: -0.0397090394519193
Candidate: 0x4b, Correlation: -0.039605435259021576
Candidate: 0x1e, Correlation: -0.039220468547153865
Candidate: 0x51, Correlation: -0.03909805070161463
Candidate: 0x4d, Correlation: -0.03900480037121487
Candidate: 0x3d, Correlation: -0.038905010743316766
Candidate: 0x45, Correlation: -0.03887843089020476
Candidate: 0xf, Correlation: -0.03856820566254295
Candidate: 0x27, Correlation: -0.03853661584969911
Candidate: 0x56, Correlation: -0.03847592126332165
Candidate: 0x36, Correlation: -0.038473390950640146
Candidate: 0xe4, Correlation: -0.03842161858374197
Candidate: 0xe, Correlation: -0.038311774001486255
Candidate: 0xd0, Correlation: -0.03826591463293229
Candidate: 0x6, Correlation: -0.038246179213235025
Candidate: 0x5, Correlation: -0.038177884194240806
Candidate: 0x64, Correlation: -0.03815456935116168
Candidate: 0x8d, Correlation: -0.03809796762494189
Candidate: 0x11, Correlation: -0.038022276306921565
Candidate: 0xb7, Correlation: -0.03802038560664378
Candidate: 0x16, Correlation: -0.03784016480087012
Candidate: 0x94, Correlation: -0.03744488906563828
Candidate: 0x54, Correlation: -0.03730710126640894
Candidate: 0x18, Correlation: -0.03709492722543327
Candidate: 0xfc, Correlation: -0.036871675414708184
Candidate: 0x84, Correlation: -0.03642122692574128
Candidate: 0x85, Correlation: -0.03628962007161511
Candidate: 0x20, Correlation: -0.03623765431013324
Candidate: 0x40, Correlation: -0.035987788287698996
Candidate: 0xe0, Correlation: -0.03596871469585052
Candidate: 0xf3, Correlation: -0.03591080916909827
Candidate: 0x2d, Correlation: -0.03589922610753932
Candidate: 0x80, Correlation: -0.03565206090011798
Candidate: 0xf8, Correlation: -0.035557763089061306
Candidate: 0x7d, Correlation: -0.035504285484532765
Candidate: 0x7, Correlation: -0.03547784108531326
Candidate: 0xc4, Correlation: -0.03541062204439102
Candidate: 0xb, Correlation: -0.03536257436977548
Candidate: 0xc, Correlation: -0.03436770398869714
Candidate: 0x5c, Correlation: -0.034303414232191146
Candidate: 0x4, Correlation: -0.034081607595767005
Candidate: 0xd6, Correlation: -0.03383485338409861
Candidate: 0xf7, Correlation: -0.03358352945531087
Candidate: 0x37, Correlation: -0.03356219118283581
Candidate: 0x7e, Correlation: -0.03351776563595858
Candidate: 0x46, Correlation: -0.03282954043249556
Candidate: 0xf4, Correlation: -0.03280531372563221
Candidate: 0x44, Correlation: -0.032137061364918694
Candidate: 0x0, Correlation: -0.03181335795859952
Candidate: 0x7b, Correlation: -0.03176760168430344
Candidate: 0xdc, Correlation: -0.029866164677370712
Candidate: 0x7c, Correlation: -0.02978846437165205
Candidate: 0xd4, Correlation: -0.02803785085196622
