Candidate: 0xbb, Correlation: -0.04397702087965594
Candidate: 0x7, Correlation: -0.04394353684434961
Candidate: 0x9f, Correlation: -0.04384314349199808
Candidate: 0x5d, Correlation: -0.04373979300811441
Candidate: 0x74, Correlation: -0.043696159156792626
Candidate: 0xf, Correlation: -0.04368720197969578
Candidate: 0x77, Correlation: -0.04367086677214099
Candidate: 0x6d, Correlation: -0.043611482031160456
Candidate: 0x9, Correlation: -0.043589496893501035
Candidate: 0x15, Correlation: -0.043529235142158854
Candidate: 0x48, Correlation: -0.04344060495023363
Candidate: 0x8d, Correlation: -0.04337359585470858
Candidate: 0x1, Correlation: -0.04336199368838358
Candidate: 0xcb, Correlation: -0.0432765129516112
Candidate: 0x5, Correlation: -0.043206336587487314
Candidate: 0xe3, Correlation: -0.043184936934025156
Candidate: 0xa4, Correlation: -0.0430701551461319
Candidate: 0x9d, Correlation: -0.042690550943433166
Candidate: 0x5b, Correlation: -0.04263483744553748
Candidate: 0xa2, Correlation: -0.04263125789078876
Candidate: 0x9b, Correlation: -0.04245920794133646
Candidate: 0x75, Correlation: -0.04237337911301232
Candidate: 0xd7, Correlation: -0.04216226791219849
Candidate: 0xb4, Correlation: -0.04180514119832504
Candidate: 0xa1, Correlation: -0.04175879036170315
Candidate: 0x43, Correlation: -0.04169344204120463
Candidate: 0x95, Correlation: -0.041519274550511666
Candidate: 0x3, Correlation: -0.0415188195798948
Candidate: 0x63, Correlation: -0.04149486407284726
Candidate: 0xeb, Correlation: -0.04122199229584593
Candidate: 0xcd, Correlation: -0.04120120421168641
Candidate: 0x3b, Correlation: -0.0411813875264409
Candidate: 0xdb, Correlation: -0.04113990346510267
Candidate: 0xe4, Correlation: -0.04094200876218694
Candidate: 0x60, Correlation: -0.040756251623499266
Candidate: 0x2b, Correlation: -0.04061095560221898
Candidate: 0xfb, Correlation: -0.040424341903276394
Candidate: 0xaf, Correlation: -0.040299900277906614
Candidate: 0xb, Correlation: -0.04020470242254786
Candidate: 0x99, Correlation: -0.040195290404360214
Candidate: 0x49, Correlation: -0.04018547470051197
Candidate: 0x71, Correlation: -0.03987287301391465
Candidate: 0x27, Correlation: -0.039763854686024426
Candidate: 0xc1, Correlation: -0.03919981432441012
Candidate: 0x94, Correlation: -0.03904822986096197
Candidate: 0x1c, Correlation: -0.0389986226440336
Candidate: 0x8a, Correlation: -0.03892562485964891
Candidate: 0x1d, Correlation: -0.038912686797158556
Candidate: 0xef, Correlation: -0.03883370134319496
Candidate: 0x1f, Correlation: -0.03862599170342044
Candidate: 0x21, Correlation: -0.038591038427466175
Candidate: 0x23, Correlation: -0.037916098757920055
Candidate: 0xc5, Correlation: -0.037901115745036164
Candidate: 0x3c, Correlation: -0.03777723548705984
Candidate: 0x79, Correlation: -0.037537807091938734
Candidate: 0xd9, Correlation: -0.03753105053938262
Candidate: 0x5c, Correlation: -0.03744030100210138
Candidate: 0xf5, Correlation: -0.037334690722682654
Candidate: 0xbc, Correlation: -0.03731264532660213
Candidate: 0x85, Correlation: -0.03723874246566238
Candidate: 0x7c, Correlation: -0.03708520333458571
Candidate: 0xe5, Correlation: -0.036931728338141644
Candidate: 0x4c, Correlation: -0.036860041384824786
Candidate: 0xad, Correlation: -0.03670383354371369
Candidate: 0xe7, Correlation: -0.036608077726776024
Candidate: 0xa9, Correlation: -0.03649537842721372
Candidate: 0x81, Correlation: -0.03645327659123287
Candidate: 0x41, Correlation: -0.03643856108002812
Candidate: 0x54, Correlation: -0.036153481804040336
Candidate: 0x1b, Correlation: -0.0359106043731804
Candidate: 0x89, Correlation: -0.03543131198848948
Candidate: 0x84, Correlation: -0.03540907905086664
Candidate: 0xcc, Correlation: -0.03506264838023926
Candidate: 0x64, Correlation: -0.03475358830758958
Candidate: 0x17, Correlation: -0.03456472686091866
Candidate: 0x67, Correlation: -0.03452865156621614
Candidate: 0x6b, Correlation: -0.034285353886750816
Candidate: 0xf1, Correlation: -0.034206007507617056
Candidate: 0xb1, Correlation: -0.03405956158323851
Candidate: 0x9c, Correlation: -0.033694248511789995
Candidate: 0xa7, Correlation: -0.033259916277674134
Candidate: 0xdc, Correlation: -0.03295187530919658
Candidate: 0x97, Correlation: -0.03210495903633526
