Candidate: 0x81, Correlation: -0.06505579345304753
Candidate: 0x87, Correlation: -0.06462482557362861
Candidate: 0x5, Correlation: -0.06458384181683513
Candidate: 0x69, Correlation: -0.06452194358226186
Candidate: 0x57, Correlation: -0.06451546563487691
Candidate: 0x15, Correlation: -0.06443883849943906
Candidate: 0x13, Correlation: -0.06416676890442458
Candidate: 0x35, Correlation: -0.06410378181519193
Candidate: 0x85, Correlation: -0.06409081805629543
Candidate: 0x25, Correlation: -0.06287475736014585
Candidate: 0x45, Correlation: -0.06282714650374012
Candidate: 0x3, Correlation: -0.06255947379257437
Candidate: 0xd3, Correlation: -0.062169645310206245
Candidate: 0x2, Correlation: -0.06212552869333505
Candidate: 0xf7, Correlation: -0.061376724320309814
Candidate: 0x71, Correlation: -0.06098365149002219
Candidate: 0x33, Correlation: -0.06036341471785684
Candidate: 0x55, Correlation: -0.060197951593648505
Candidate: 0x53, Correlation: -0.05972238885671103
Candidate: 0x47, Correlation: -0.059197884890919254
Candidate: 0x7f, Correlation: -0.05911174574929752
Candidate: 0xf6, Correlation: -0.05862246072577947
Candidate: 0x7, Correlation: -0.05848703356025622
Candidate: 0x16, Correlation: -0.05822329653688402
Candidate: 0x63, Correlation: -0.057950266433482674
Candidate: 0x31, Correlation: -0.0578445791948124
Candidate: 0xe7, Correlation: -0.057686545923493586
Candidate: 0x27, Correlation: -0.05765536366968918
Candidate: 0xe1, Correlation: -0.05764567183681428
Candidate: 0x65, Correlation: -0.05761448274139237
Candidate: 0xd, Correlation: -0.05745931067776084
Candidate: 0x73, Correlation: -0.056158601919429625
Candidate: 0x43, Correlation: -0.05608019403689999
Candidate: 0x83, Correlation: -0.055830122150232246
Candidate: 0x11, Correlation: -0.05582002902282357
Candidate: 0xf, Correlation: -0.05543741295517735
Candidate: 0x79, Correlation: -0.05541634188933844
Candidate: 0xe3, Correlation: -0.054629627954515064
Candidate: 0xf5, Correlation: -0.053824609500493545
Candidate: 0xd5, Correlation: -0.05367695393964953
Candidate: 0x5f, Correlation: -0.05354001309286703
Candidate: 0x19, Correlation: -0.05346074313059425
Candidate: 0xf9, Correlation: -0.05297436633600775
Candidate: 0x4b, Correlation: -0.052908447885797086
Candidate: 0xe5, Correlation: -0.052588269182212245
Candidate: 0x75, Correlation: -0.052323028021586976
Candidate: 0xff, Correlation: -0.05218458308612505
Candidate: 0x23, Correlation: -0.052079603162031356
Candidate: 0xf3, Correlation: -0.05205040466751309
Candidate: 0x67, Correlation: -0.05178497525053329
Candidate: 0xdf, Correlation: -0.05119002937424198
Candidate: 0x21, Correlation: -0.051153299282215646
Candidate: 0x1f, Correlation: -0.050703884677859835
Candidate: 0x56, Correlation: -0.05011290358484639
Candidate: 0x2f, Correlation: -0.049663355522386925
Candidate: 0x77, Correlation: -0.0496142162606871
Candidate: 0x4f, Correlation: -0.0494077164918921
Candidate: 0xd7, Correlation: -0.049291840742200346
Candidate: 0x37, Correlation: -0.048844815528683
Candidate: 0xf1, Correlation: -0.04836873720650768
Candidate: 0xef, Correlation: -0.047911954945961045
Candidate: 0x4d, Correlation: -0.04714653934399327
Candidate: 0x3f, Correlation: -0.04557555136116376
Candidate: 0xb, Correlation: -0.0448968397597101
Candidate: 0x6f, Correlation: -0.04119577225903007
