Candidate: 0xf0, Correlation: -0.04644264672528333
Candidate: 0x72, Correlation: -0.046380537919359296
Candidate: 0xde, Correlation: -0.04627307056614009
Candidate: 0xa8, Correlation: -0.04612486875308532
Candidate: 0x84, Correlation: -0.046087028011643515
Candidate: 0xda, Correlation: -0.04601825786310768
Candidate: 0x20, Correlation: -0.045686335959804904
Candidate: 0x41, Correlation: -0.045534477100213334
Candidate: 0xd4, Correlation: -0.045271535538404545
Candidate: 0xd5, Correlation: -0.04502719864025776
Candidate: 0xa1, Correlation: -0.04500851504952549
Candidate: 0xd0, Correlation: -0.04494863216941356
Candidate: 0xb5, Correlation: -0.044919672539380874
Candidate: 0xc5, Correlation: -0.044725909121278024
Candidate: 0x94, Correlation: -0.044472853907422956
Candidate: 0x71, Correlation: -0.044349544008159804
Candidate: 0xbd, Correlation: -0.04430571243548741
Candidate: 0x91, Correlation: -0.04402445946160187
Candidate: 0x38, Correlation: -0.043718837006903634
Candidate: 0x81, Correlation: -0.043637779145191506
Candidate: 0x48, Correlation: -0.04352834138605535
Candidate: 0xe5, Correlation: -0.043311872751238885
Candidate: 0x44, Correlation: -0.04301909081703871
Candidate: 0xdc, Correlation: -0.04274401593527092
Candidate: 0x85, Correlation: -0.042505305357566324
Candidate: 0x6d, Correlation: -0.04243303068768872
Candidate: 0x31, Correlation: -0.04235732547105762
Candidate: 0xe8, Correlation: -0.04222033469275547
Candidate: 0xa5, Correlation: -0.042103802723956626
Candidate: 0x7c, Correlation: -0.04159679518247437
Candidate: 0xbc, Correlation: -0.0414818911799923
Candidate: 0x28, Correlation: -0.041345539157694434
Candidate: 0x3c, Correlation: -0.041264520118776335
Candidate: 0x25, Correlation: -0.041021079985862664
Candidate: 0xe1, Correlation: -0.040528516907896626
Candidate: 0xce, Correlation: -0.04050065342496826
Candidate: 0x69, Correlation: -0.04048842932563073
Candidate: 0xd1, Correlation: -0.03930161561806513
Candidate: 0x79, Correlation: -0.03911894886952774
Candidate: 0x6a, Correlation: -0.0383842557989648
Candidate: 0x75, Correlation: -0.038339464385878146
Candidate: 0x51, Correlation: -0.038174596216606016
Candidate: 0xb9, Correlation: -0.03686675569717179
Candidate: 0xd2, Correlation: -0.036612397587025246
Candidate: 0x8e, Correlation: -0.035734997971270464
Candidate: 0x35, Correlation: -0.033082569479013405
Candidate: 0xa9, Correlation: -0.0327380912634555
