Candidate: 0xd6, Correlation: -0.05736293189129896
Candidate: 0x24, Correlation: -0.05729406097997933
Candidate: 0x77, Correlation: -0.057248427167675954
Candidate: 0x70, Correlation: -0.057185547622413034
Candidate: 0x61, Correlation: -0.057061235463720425
Candidate: 0x18, Correlation: -0.05693929691540815
Candidate: 0x38, Correlation: -0.0562504604047926
Candidate: 0x4, Correlation: -0.055958096793825365
Candidate: 0x42, Correlation: -0.05587251556411473
Candidate: 0x4f, Correlation: -0.05568652015326497
Candidate: 0x2, Correlation: -0.055549011299413635
Candidate: 0x56, Correlation: -0.055499853039337126
Candidate: 0x5d, Correlation: -0.0551640158620247
Candidate: 0x43, Correlation: -0.05490156638335888
Candidate: 0x3, Correlation: -0.05488692644244952
Candidate: 0x5a, Correlation: -0.05451663737509321
Candidate: 0x74, Correlation: -0.054418568511185934
Candidate: 0x1a, Correlation: -0.054119319819509536
Candidate: 0x65, Correlation: -0.053977312907738835
Candidate: 0xd0, Correlation: -0.0539756092495956
Candidate: 0x5f, Correlation: -0.05392559932161276
Candidate: 0x55, Correlation: -0.053792067923393916
Candidate: 0x62, Correlation: -0.053656582027650085
Candidate: 0x51, Correlation: -0.05362405560531594
Candidate: 0x50, Correlation: -0.05337212755907598
Candidate: 0x6b, Correlation: -0.05329473269287395
Candidate: 0x21, Correlation: -0.05316861014555067
Candidate: 0x25, Correlation: -0.053093621173383426
Candidate: 0x17, Correlation: -0.05307622292217682
Candidate: 0x6c, Correlation: -0.052957351163695064
Candidate: 0x49, Correlation: -0.05284620036695689
Candidate: 0x66, Correlation: -0.05243784148774882
Candidate: 0x68, Correlation: -0.0522205935125025
Candidate: 0x57, Correlation: -0.052160491929777716
Candidate: 0x58, Correlation: -0.05215873212895788
Candidate: 0x40, Correlation: -0.051734807949039306
Candidate: 0x6, Correlation: -0.05168951497918525
Candidate: 0x20, Correlation: -0.051635343295484276
Candidate: 0x9, Correlation: -0.05137491940188675
Candidate: 0xd4, Correlation: -0.05128827602555412
Candidate: 0x45, Correlation: -0.05086002377831609
Candidate: 0x44, Correlation: -0.0507577486707496
Candidate: 0x6a, Correlation: -0.050717500883946325
Candidate: 0x27, Correlation: -0.050532335489190776
Candidate: 0x6f, Correlation: -0.050278091084851324
Candidate: 0x5, Correlation: -0.050014103570791515
Candidate: 0x46, Correlation: -0.04983292969232177
Candidate: 0x10, Correlation: -0.04961369842911836
Candidate: 0x39, Correlation: -0.0494882718918497
Candidate: 0x1, Correlation: -0.04915785734359945
Candidate: 0x0, Correlation: -0.04895728577767963
Candidate: 0x67, Correlation: -0.048792148067773135
Candidate: 0x4b, Correlation: -0.04873753777196301
Candidate: 0x41, Correlation: -0.04816418356906838
Candidate: 0x8, Correlation: -0.04770380415883604
Candidate: 0x6e, Correlation: -0.04654314333708046
Candidate: 0x47, Correlation: -0.04609183751009048
Candidate: 0x59, Correlation: -0.04595705771160641
Candidate: 0x64, Correlation: -0.044620847315145214
Candidate: 0x7, Correlation: -0.044616041226772325
Candidate: 0x60, Correlation: -0.04441522642050029
Candidate: 0x2b, Correlation: -0.04363479671475955
Candidate: 0x15, Correlation: -0.04344820646929773
Candidate: 0x2a, Correlation: -0.04302954534128448
Candidate: 0x54, Correlation: -0.04132592177830121
Candidate: 0xb, Correlation: -0.04112291937404947
Candidate: 0x11, Correlation: -0.039387603279093845
Candidate: 0x14, Correlation: -0.03937915208756782
Candidate: 0xa, Correlation: -0.03934046939755289
Candidate: 0x29, Correlation: -0.03723151616543622
Candidate: 0x28, Correlation: -0.03310164565638448
