Candidate: 0x45, Correlation: -0.069504547028923
Candidate: 0x3d, Correlation: -0.06876023926564083
Candidate: 0x5c, Correlation: -0.06826034766956053
Candidate: 0x2d, Correlation: -0.06749834046951494
Candidate: 0xbe, Correlation: -0.06714464985599217
Candidate: 0xdd, Correlation: -0.06710431890419812
Candidate: 0x36, Correlation: -0.06528269480914882
Candidate: 0xb6, Correlation: -0.0650712153309205
Candidate: 0x55, Correlation: -0.06364925403927027
Candidate: 0x77, Correlation: -0.06335015944773842
Candidate: 0xdf, Correlation: -0.0630516809867265
Candidate: 0x61, Correlation: -0.06288519013903034
Candidate: 0x7d, Correlation: -0.06251405268336374
Candidate: 0x85, Correlation: -0.060871269793681466
Candidate: 0xb5, Correlation: -0.06041600636807942
Candidate: 0xd5, Correlation: -0.059799988846045
Candidate: 0xde, Correlation: -0.05878775878082709
Candidate: 0x56, Correlation: -0.058453914635632515
Candidate: 0x3e, Correlation: -0.05845074075742163
Candidate: 0x37, Correlation: -0.058289750830148944
Candidate: 0x5d, Correlation: -0.05727475046620963
Candidate: 0x96, Correlation: -0.056353412627795293
Candidate: 0x4e, Correlation: -0.055265065664932084
Candidate: 0xbd, Correlation: -0.05454050288744703
Candidate: 0xb7, Correlation: -0.05440365509286153
Candidate: 0x65, Correlation: -0.053666889135377406
Candidate: 0xbf, Correlation: -0.052301074352856934
Candidate: 0x9d, Correlation: -0.05227382919593065
Candidate: 0xd7, Correlation: -0.05222849176611737
Candidate: 0x31, Correlation: -0.05218288435784551
Candidate: 0x5e, Correlation: -0.05189777025100237
Candidate: 0xa1, Correlation: -0.05178318938428117
Candidate: 0xd1, Correlation: -0.051775262657407777
Candidate: 0x6d, Correlation: -0.051146140514524166
Candidate: 0x99, Correlation: -0.050813266802689445
Candidate: 0xce, Correlation: -0.0506717903337134
Candidate: 0x6e, Correlation: -0.0500397340607666
Candidate: 0x6f, Correlation: -0.04800945782086621
Candidate: 0xa5, Correlation: -0.047828873267509196
Candidate: 0x95, Correlation: -0.047272681281052616
Candidate: 0x9e, Correlation: -0.046980239323342866
Candidate: 0x71, Correlation: -0.04678971403383061
Candidate: 0xaf, Correlation: -0.04633441390969782
Candidate: 0xa7, Correlation: -0.045131522880218176
Candidate: 0xae, Correlation: -0.04408084173491806
Candidate: 0x3f, Correlation: -0.04371032903335867
Candidate: 0x67, Correlation: -0.04355549076041943
Candidate: 0x75, Correlation: -0.04352174757397459
Candidate: 0xb1, Correlation: -0.04343769580511256
Candidate: 0xad, Correlation: -0.04323958825366978
Candidate: 0x97, Correlation: -0.043099496579622934
Candidate: 0x59, Correlation: -0.04187833227802694
Candidate: 0x91, Correlation: -0.04177100423133952
Candidate: 0x5f, Correlation: -0.04058381983955707
Candidate: 0x8e, Correlation: -0.04051653063795808
Candidate: 0x9f, Correlation: -0.040143666533175894
Candidate: 0xa9, Correlation: -0.03957869197809847
Candidate: 0x51, Correlation: -0.03941294959700807
Candidate: 0x57, Correlation: -0.03916047031138469
Candidate: 0x69, Correlation: -0.03878436522303885
