Candidate: 0xb3, Correlation: -0.05820410759938631
Candidate: 0x79, Correlation: -0.057900296075321434
Candidate: 0xa4, Correlation: -0.057592065333896915
Candidate: 0x70, Correlation: -0.0574381174696025
Candidate: 0x3d, Correlation: -0.05722724500133351
Candidate: 0x63, Correlation: -0.05696110621339743
Candidate: 0x67, Correlation: -0.05507604160387466
Candidate: 0xa2, Correlation: -0.05418202910865982
Candidate: 0x36, Correlation: -0.05394061578152044
Candidate: 0xb4, Correlation: -0.052403849737655744
Candidate: 0xe3, Correlation: -0.05223006579462886
Candidate: 0x77, Correlation: -0.05208683113152745
Candidate: 0x72, Correlation: -0.05193759895996594
Candidate: 0xa7, Correlation: -0.050202983664077085
Candidate: 0x15, Correlation: -0.04962427242083319
Candidate: 0xe2, Correlation: -0.049604789585637576
Candidate: 0x66, Correlation: -0.0495283183542675
Candidate: 0xf1, Correlation: -0.04951944165448694
Candidate: 0x74, Correlation: -0.049395591919603785
Candidate: 0xf0, Correlation: -0.04871182030439086
Candidate: 0x7a, Correlation: -0.04740871523109092
Candidate: 0xa3, Correlation: -0.04739187435531254
Candidate: 0x76, Correlation: -0.04677845061012851
Candidate: 0x7b, Correlation: -0.046532917821308604
Candidate: 0xa6, Correlation: -0.0404653652191446
