Candidate: 0xec, Correlation: -0.05503414548212071
Candidate: 0xa9, Correlation: -0.05495336045607513
Candidate: 0x2f, Correlation: -0.05491964750065924
Candidate: 0x2b, Correlation: -0.05458591368075245
Candidate: 0x39, Correlation: -0.05453882620503452
Candidate: 0x3f, Correlation: -0.05447023899741996
Candidate: 0x1b, Correlation: -0.054370677598761755
Candidate: 0x65, Correlation: -0.05436110269758096
Candidate: 0xd1, Correlation: -0.05435423086511142
Candidate: 0x3d, Correlation: -0.054173861838438794
Candidate: 0x11, Correlation: -0.05408784521355789
Candidate: 0x6b, Correlation: -0.05408452607123584
Candidate: 0x87, Correlation: -0.054016537252414086
Candidate: 0xed, Correlation: -0.05400164406329202
Candidate: 0x31, Correlation: -0.05385176552225014
Candidate: 0x28, Correlation: -0.05381726928128333
Candidate: 0x5b, Correlation: -0.053805339345550575
Candidate: 0x27, Correlation: -0.0537350105983237
Candidate: 0x3b, Correlation: -0.053699106408168024
Candidate: 0xa1, Correlation: -0.05364263461837375
Candidate: 0xc9, Correlation: -0.05326316589346116
Candidate: 0x21, Correlation: -0.053187520791079745
Candidate: 0xb3, Correlation: -0.053092359853348044
Candidate: 0x5d, Correlation: -0.053078216377172846
Candidate: 0x6f, Correlation: -0.053030813158961125
Candidate: 0x9f, Correlation: -0.0528094423943999
Candidate: 0x2d, Correlation: -0.0528000361902933
Candidate: 0xd3, Correlation: -0.0527562427435622
Candidate: 0x29, Correlation: -0.05269701055986881
Candidate: 0x53, Correlation: -0.05267170487299471
Candidate: 0x34, Correlation: -0.052648518697455564
Candidate: 0x89, Correlation: -0.05257446572461641
Candidate: 0xf5, Correlation: -0.052333557599907314
Candidate: 0x37, Correlation: -0.05232541354011347
Candidate: 0x69, Correlation: -0.0521804975511009
Candidate: 0x6c, Correlation: -0.052033061709108076
Candidate: 0x3a, Correlation: -0.05184107734058134
Candidate: 0xa7, Correlation: -0.05166230771119711
Candidate: 0x83, Correlation: -0.05162956918097456
Candidate: 0x5f, Correlation: -0.051460991934952904
Candidate: 0x73, Correlation: -0.05145683069386071
Candidate: 0xe5, Correlation: -0.05126690133511435
Candidate: 0x25, Correlation: -0.05124263976296114
Candidate: 0x71, Correlation: -0.05121876327857503
Candidate: 0xa3, Correlation: -0.051091200048063265
Candidate: 0xab, Correlation: -0.051034669976637116
Candidate: 0x33, Correlation: -0.05077246179434428
Candidate: 0x4b, Correlation: -0.05071193907767047
Candidate: 0x67, Correlation: -0.05068255972972125
Candidate: 0x8d, Correlation: -0.050680109883735176
Candidate: 0x59, Correlation: -0.05066574656279556
Candidate: 0xcb, Correlation: -0.05060622782583664
Candidate: 0x2c, Correlation: -0.05041251659027103
Candidate: 0x79, Correlation: -0.05036213080584487
Candidate: 0x7d, Correlation: -0.05035170569171508
Candidate: 0xb7, Correlation: -0.050324857211082596
Candidate: 0x57, Correlation: -0.05024908059719573
Candidate: 0xc7, Correlation: -0.05017306061969913
Candidate: 0x75, Correlation: -0.0500891138842792
Candidate: 0xaf, Correlation: -0.0498772805933706
Candidate: 0xa5, Correlation: -0.04975557689037357
Candidate: 0xb9, Correlation: -0.049558742680325445
Candidate: 0xd5, Correlation: -0.049464825669721005
Candidate: 0x7b, Correlation: -0.049464687988645166
Candidate: 0xe9, Correlation: -0.049278616399440506
Candidate: 0xbd, Correlation: -0.04908513879911013
Candidate: 0x8b, Correlation: -0.04904015199400017
Candidate: 0x77, Correlation: -0.04864872439992079
Candidate: 0xcd, Correlation: -0.04851422460563856
Candidate: 0x4f, Correlation: -0.0483284739382331
Candidate: 0x17, Correlation: -0.04829878264621287
Candidate: 0x4d, Correlation: -0.0482806569864488
Candidate: 0xf9, Correlation: -0.04815733076248945
Candidate: 0x93, Correlation: -0.0481501035164092
Candidate: 0xd, Correlation: -0.04751491997437464
Candidate: 0x8f, Correlation: -0.04716736058865548
Candidate: 0xd9, Correlation: -0.0470310900992574
Candidate: 0xd7, Correlation: -0.04682842622178193
Candidate: 0x13, Correlation: -0.04679284581461364
Candidate: 0x85, Correlation: -0.04663462242682656
Candidate: 0xb1, Correlation: -0.04653326262255949
Candidate: 0xb5, Correlation: -0.04621133099355135
Candidate: 0x55, Correlation: -0.046204657903662474
Candidate: 0xcf, Correlation: -0.04538041295013303
Candidate: 0x35, Correlation: -0.045350200345060473
Candidate: 0x91, Correlation: -0.04531924704900062
Candidate: 0x95, Correlation: -0.0434476155943943
