Candidate: 0x9a, Correlation: -0.1056140817148237
Candidate: 0x10, Correlation: -0.10524713631309546
Candidate: 0xc5, Correlation: -0.10511736585082536
Candidate: 0xfe, Correlation: -0.10480822615667208
Candidate: 0xc1, Correlation: -0.10368757859128733
Candidate: 0x41, Correlation: -0.1021155608913632
Candidate: 0x2, Correlation: -0.10030292860237283
Candidate: 0xda, Correlation: -0.10016239307811403
Candidate: 0x42, Correlation: -0.09934882436676461
Candidate: 0x1a, Correlation: -0.09849438014497146
Candidate: 0x2e, Correlation: -0.09830914214542469
Candidate: 0xae, Correlation: -0.09793424255666504
Candidate: 0x20, Correlation: -0.09780613217275179
Candidate: 0x4, Correlation: -0.09762396142670057
Candidate: 0x60, Correlation: -0.09726999001919778
Candidate: 0x94, Correlation: -0.09725232144777964
Candidate: 0x90, Correlation: -0.09653889342095102
Candidate: 0xee, Correlation: -0.09603919695664126
Candidate: 0xd4, Correlation: -0.09592060422951083
Candidate: 0xd0, Correlation: -0.09589269896279345
Candidate: 0x2a, Correlation: -0.09536170567821974
Candidate: 0xc2, Correlation: -0.09487111673486052
Candidate: 0x5a, Correlation: -0.09434358554938982
Candidate: 0xec, Correlation: -0.09408468906769205
Candidate: 0x12, Correlation: -0.09339629576419452
Candidate: 0x54, Correlation: -0.09327881359386049
Candidate: 0xc0, Correlation: -0.09176701539488047
Candidate: 0xaa, Correlation: -0.09138250156620165
Candidate: 0x4a, Correlation: -0.09138102070050874
Candidate: 0x5e, Correlation: -0.08995155856393305
Candidate: 0xa2, Correlation: -0.08985602345111805
Candidate: 0xea, Correlation: -0.08859630418975394
Candidate: 0x82, Correlation: -0.08839379801018062
Candidate: 0xe, Correlation: -0.08753177253787296
Candidate: 0xc, Correlation: -0.08630627995146249
Candidate: 0xac, Correlation: -0.08624161738895843
Candidate: 0x2c, Correlation: -0.08618518692954254
Candidate: 0x4e, Correlation: -0.08604853226218367
Candidate: 0xd2, Correlation: -0.0858355859524627
Candidate: 0xca, Correlation: -0.08452826762752097
Candidate: 0xe4, Correlation: -0.08239407465406177
Candidate: 0x22, Correlation: -0.08148538025885727
Candidate: 0xa4, Correlation: -0.08029698741649223
Candidate: 0x50, Correlation: -0.08022027329317634
Candidate: 0xe0, Correlation: -0.07945594861977268
Candidate: 0xa, Correlation: -0.07937033001214772
Candidate: 0x92, Correlation: -0.07923366585931568
Candidate: 0x6c, Correlation: -0.07899935945773588
Candidate: 0x8a, Correlation: -0.07896078252343679
Candidate: 0x1e, Correlation: -0.07849989053931843
Candidate: 0x52, Correlation: -0.0780640851053953
Candidate: 0x24, Correlation: -0.07645450567081394
Candidate: 0xe2, Correlation: -0.07602583147468629
Candidate: 0x9e, Correlation: -0.07546551174225093
Candidate: 0x84, Correlation: -0.0748101640812192
Candidate: 0xa0, Correlation: -0.0746846767136876
Candidate: 0x62, Correlation: -0.0732826168977325
Candidate: 0x6a, Correlation: -0.07165225465418663
Candidate: 0x44, Correlation: -0.07063413173590119
Candidate: 0x5c, Correlation: -0.07052422801381134
Candidate: 0xce, Correlation: -0.06873039336156113
Candidate: 0x64, Correlation: -0.0681981921793862
Candidate: 0x1c, Correlation: -0.0669522037838602
Candidate: 0x8c, Correlation: -0.06640073677027186
Candidate: 0xc4, Correlation: -0.06601120112673382
Candidate: 0xdc, Correlation: -0.06547133548983304
Candidate: 0xde, Correlation: -0.06270672599732204
Candidate: 0x9c, Correlation: -0.060364236497031355
Candidate: 0x4c, Correlation: -0.06027208264502846
Candidate: 0xcc, Correlation: -0.05399001197091172
