Candidate: 0x21, Correlation: -0.1188470834777495
Candidate: 0xca, Correlation: -0.11864755471329406
Candidate: 0xcf, Correlation: -0.1185178425605708
Candidate: 0x46, Correlation: -0.11797233083869414
Candidate: 0x52, Correlation: -0.11793267011037867
Candidate: 0x1e, Correlation: -0.1172026878732451
Candidate: 0x35, Correlation: -0.11699872221046222
Candidate: 0x31, Correlation: -0.11646419086289957
Candidate: 0xe7, Correlation: -0.11608059420046002
Candidate: 0xda, Correlation: -0.1159310904205993
Candidate: 0xf5, Correlation: -0.11579048353375558
Candidate: 0x97, Correlation: -0.11573927028853132
Candidate: 0x22, Correlation: -0.11501126358000506
Candidate: 0x7, Correlation: -0.11479633715745785
Candidate: 0xd7, Correlation: -0.11473425880471619
Candidate: 0x57, Correlation: -0.11473032645866334
Candidate: 0xa1, Correlation: -0.11464478522774375
Candidate: 0x26, Correlation: -0.1146128077060023
Candidate: 0xef, Correlation: -0.11374729401014305
Candidate: 0x29, Correlation: -0.11364133131829032
Candidate: 0xf, Correlation: -0.11257953691536422
Candidate: 0x32, Correlation: -0.11193564297024632
Candidate: 0xe1, Correlation: -0.11162452082150431
Candidate: 0x55, Correlation: -0.11134885986604072
Candidate: 0x13, Correlation: -0.11081050232703085
Candidate: 0xe5, Correlation: -0.10976678563559839
Candidate: 0xb5, Correlation: -0.10886507230740343
Candidate: 0x2e, Correlation: -0.10849991591407138
Candidate: 0xc6, Correlation: -0.1083974577267393
Candidate: 0xe9, Correlation: -0.10663285691528807
Candidate: 0xde, Correlation: -0.10652009728222019
Candidate: 0xd5, Correlation: -0.10621601605296299
Candidate: 0xd6, Correlation: -0.105896561474602
Candidate: 0x25, Correlation: -0.10537540474878421
Candidate: 0x51, Correlation: -0.10515699224212699
Candidate: 0xb1, Correlation: -0.10514578343492079
Candidate: 0x63, Correlation: -0.10484580877025297
Candidate: 0xe3, Correlation: -0.10357587863983506
Candidate: 0x2f, Correlation: -0.10330684644693157
Candidate: 0x15, Correlation: -0.1030199491257591
Candidate: 0xd3, Correlation: -0.10272023746762537
Candidate: 0xc7, Correlation: -0.10261676588792842
Candidate: 0xe2, Correlation: -0.10248034805368557
Candidate: 0x23, Correlation: -0.10107126955342192
Candidate: 0x33, Correlation: -0.10060462994556921
Candidate: 0xd2, Correlation: -0.09909626804386987
Candidate: 0xc3, Correlation: -0.09904512890477708
