Candidate: 0xe, Correlation: -0.19974753433956602
Candidate: 0x1a, Correlation: -0.19675256290789753
Candidate: 0xac, Correlation: -0.1944514199276376
Candidate: 0x63, Correlation: -0.1941389159084265
Candidate: 0xa6, Correlation: -0.19253154368904596
Candidate: 0xcc, Correlation: -0.1913241555364083
Candidate: 0x46, Correlation: -0.1905278295507952
Candidate: 0xed, Correlation: -0.19006072864096668
Candidate: 0x3e, Correlation: -0.18912023135439465
Candidate: 0xae, Correlation: -0.18821094155612594
Candidate: 0xd4, Correlation: -0.18711676701558178
Candidate: 0xb9, Correlation: -0.1865274070729698
Candidate: 0xc6, Correlation: -0.18644432471426406
Candidate: 0xe9, Correlation: -0.18477369204325417
Candidate: 0xde, Correlation: -0.18413180822433828
Candidate: 0x58, Correlation: -0.18286784296197378
Candidate: 0xc2, Correlation: -0.1819773292310231
Candidate: 0x21, Correlation: -0.18182505678084512
Candidate: 0xb4, Correlation: -0.18148212487385243
Candidate: 0x2a, Correlation: -0.17915554128078168
Candidate: 0xbb, Correlation: -0.17766016057157932
Candidate: 0x9a, Correlation: -0.1766667719060595
Candidate: 0xdc, Correlation: -0.1753191893034024
Candidate: 0x54, Correlation: -0.1752521731274952
Candidate: 0xbc, Correlation: -0.17486456489743407
Candidate: 0x14, Correlation: -0.17362543116198287
Candidate: 0x60, Correlation: -0.1735750302712919
Candidate: 0xd6, Correlation: -0.17137549986545644
Candidate: 0xbe, Correlation: -0.169896391518715
Candidate: 0x90, Correlation: -0.1689512652954835
Candidate: 0x80, Correlation: -0.16710900772519172
Candidate: 0x9b, Correlation: -0.1657921221270048
Candidate: 0x68, Correlation: -0.16564868932434626
Candidate: 0xa1, Correlation: -0.16329927415558265
Candidate: 0x6a, Correlation: -0.1619251300507738
Candidate: 0x52, Correlation: -0.16064795414190272
Candidate: 0xa9, Correlation: -0.15987682003366077
Candidate: 0xa3, Correlation: -0.15891026805545158
Candidate: 0x91, Correlation: -0.15835979309488094
Candidate: 0x82, Correlation: -0.1578249755194001
Candidate: 0xaa, Correlation: -0.15598286029987538
Candidate: 0x88, Correlation: -0.1554832249749819
Candidate: 0x2, Correlation: -0.15421210804495494
Candidate: 0x28, Correlation: -0.15352930410237742
Candidate: 0x1e, Correlation: -0.15068808771920783
Candidate: 0x61, Correlation: -0.1488362069231676
Candidate: 0x81, Correlation: -0.14354462213995847
Candidate: 0x44, Correlation: -0.14322393609005724
Candidate: 0x69, Correlation: -0.14129273123520492
Candidate: 0x26, Correlation: -0.14098770757835716
Candidate: 0x40, Correlation: -0.13821195147491405
Candidate: 0xba, Correlation: -0.13732400764568892
Candidate: 0xa0, Correlation: -0.13729752706483733
Candidate: 0x98, Correlation: -0.1369421893963739
Candidate: 0xd2, Correlation: -0.13694170644250414
Candidate: 0x83, Correlation: -0.1364039174894003
Candidate: 0x6b, Correlation: -0.136107987405663
Candidate: 0xea, Correlation: -0.13494919559806554
Candidate: 0x8, Correlation: -0.13416521320840952
Candidate: 0xd8, Correlation: -0.13334259046315974
Candidate: 0x89, Correlation: -0.13270904513948859
Candidate: 0x2e, Correlation: -0.13222566019646453
Candidate: 0xe4, Correlation: -0.13203182315295434
Candidate: 0x38, Correlation: -0.12969298621316297
Candidate: 0xc0, Correlation: -0.12759532162996753
Candidate: 0x2c, Correlation: -0.12579037865435613
Candidate: 0x50, Correlation: -0.12146760971085668
Candidate: 0xa8, Correlation: -0.11581804150755046
Candidate: 0x99, Correlation: -0.1120777839423894
Candidate: 0xa2, Correlation: -0.11081143133449027
Candidate: 0xb8, Correlation: -0.10986415941406859
Candidate: 0xc, Correlation: -0.1084345977704161
Candidate: 0x6, Correlation: -0.10567237774187671
Candidate: 0x22, Correlation: -0.10066839933243361
Candidate: 0x3c, Correlation: -0.09406998656532463
Candidate: 0xd0, Correlation: -0.09401978858472533
Candidate: 0xe8, Correlation: -0.08702885899915737
Candidate: 0x18, Correlation: -0.08379252610618278
Candidate: 0x1c, Correlation: -0.08304468582688614
Candidate: 0xee, Correlation: -0.0756024604132877
Candidate: 0x0, Correlation: -0.07119117835817397
Candidate: 0x20, Correlation: -0.06724510792660086
Candidate: 0xec, Correlation: -0.06669299797323283
Candidate: 0x4, Correlation: -0.06254275832345929
Candidate: 0x24, Correlation: -0.061945107788574094
