Candidate: 0x8e, Correlation: -0.16501245422351082
Candidate: 0x39, Correlation: -0.16463014142007562
Candidate: 0xd8, Correlation: -0.16394701559101096
Candidate: 0x17, Correlation: -0.16366738681940932
Candidate: 0x7e, Correlation: -0.16262722818379974
Candidate: 0x4b, Correlation: -0.16169370366233154
Candidate: 0x52, Correlation: -0.15988513230472767
Candidate: 0x13, Correlation: -0.15951687012830945
Candidate: 0x10, Correlation: -0.15947336397964185
Candidate: 0x1a, Correlation: -0.1581133509758037
Candidate: 0x3c, Correlation: -0.15715448454454192
Candidate: 0xd1, Correlation: -0.15611553854394816
Candidate: 0xbe, Correlation: -0.15340670173313434
Candidate: 0x4a, Correlation: -0.15226234532253866
Candidate: 0x6, Correlation: -0.15140024806389918
Candidate: 0x4d, Correlation: -0.15013036842710814
Candidate: 0xba, Correlation: -0.14925164628896956
Candidate: 0x6a, Correlation: -0.14807568947081604
Candidate: 0xe, Correlation: -0.1478703765164905
Candidate: 0xcd, Correlation: -0.14770230914999452
Candidate: 0xfa, Correlation: -0.1464781001431722
Candidate: 0xaa, Correlation: -0.1464425625071469
Candidate: 0xec, Correlation: -0.14502253085058195
Candidate: 0xee, Correlation: -0.14455347002584576
Candidate: 0x3a, Correlation: -0.14314561296683032
Candidate: 0xd, Correlation: -0.1428376568096687
Candidate: 0xfc, Correlation: -0.1425645334539887
Candidate: 0xc9, Correlation: -0.13990940722594264
Candidate: 0xd6, Correlation: -0.13960903212586845
Candidate: 0xc7, Correlation: -0.13793868967390807
Candidate: 0x46, Correlation: -0.13776580297677596
Candidate: 0xae, Correlation: -0.13767739817701152
Candidate: 0xd4, Correlation: -0.13658143711059262
Candidate: 0xe6, Correlation: -0.13580903746731238
Candidate: 0xcc, Correlation: -0.135093959943655
Candidate: 0x2a, Correlation: -0.13417064967576112
Candidate: 0x4c, Correlation: -0.13317963142708497
Candidate: 0xc, Correlation: -0.13309821073272438
Candidate: 0xea, Correlation: -0.13119012829519727
Candidate: 0x2d, Correlation: -0.13114829615621806
Candidate: 0xa8, Correlation: -0.12858930036954408
Candidate: 0x4e, Correlation: -0.12810328068023344
