Candidate: 0x4d, Correlation: -0.05036703233784033
Candidate: 0x34, Correlation: -0.05036098737255719
Candidate: 0x3e, Correlation: -0.05032967441044472
Candidate: 0x29, Correlation: -0.0502699935245326
Candidate: 0xd6, Correlation: -0.05017018996794642
Candidate: 0xc3, Correlation: -0.05007596448825026
Candidate: 0x8b, Correlation: -0.049979164283617504
Candidate: 0x25, Correlation: -0.04993579014967014
Candidate: 0x37, Correlation: -0.04989434972898467
Candidate: 0x22, Correlation: -0.0498014582256284
Candidate: 0x40, Correlation: -0.04979122324057668
Candidate: 0x39, Correlation: -0.04972317780591902
Candidate: 0xcb, Correlation: -0.04971986216511997
Candidate: 0x59, Correlation: -0.04962581147854681
Candidate: 0x9e, Correlation: -0.04955941825347249
Candidate: 0x80, Correlation: -0.049437841274824756
Candidate: 0xe3, Correlation: -0.04937816715657348
Candidate: 0x7, Correlation: -0.0493764190745498
Candidate: 0x6c, Correlation: -0.049253577338149696
Candidate: 0x50, Correlation: -0.049209154255459735
Candidate: 0x62, Correlation: -0.049094177369552634
Candidate: 0x20, Correlation: -0.04908842828610961
Candidate: 0x79, Correlation: -0.049042308095384526
Candidate: 0x54, Correlation: -0.048927322539431196
Candidate: 0xdd, Correlation: -0.048915010756502265
Candidate: 0x2d, Correlation: -0.048878846756981016
Candidate: 0x53, Correlation: -0.04884205215521548
Candidate: 0xd7, Correlation: -0.04881126511808643
Candidate: 0x58, Correlation: -0.04878932688605048
Candidate: 0xdf, Correlation: -0.04861624078039915
Candidate: 0x61, Correlation: -0.04853722784361204
Candidate: 0x51, Correlation: -0.04846945723850084
Candidate: 0x73, Correlation: -0.048391276758230135
Candidate: 0x45, Correlation: -0.04838964841115401
Candidate: 0xcf, Correlation: -0.04838578771701366
Candidate: 0xe5, Correlation: -0.04837161559313167
Candidate: 0xb, Correlation: -0.0483348738345127
Candidate: 0x3f, Correlation: -0.04833470910151194
Candidate: 0x9d, Correlation: -0.048324381186092065
Candidate: 0x70, Correlation: -0.048299371931967976
Candidate: 0x15, Correlation: -0.04829441991348962
Candidate: 0xc0, Correlation: -0.048244921294634036
Candidate: 0xe0, Correlation: -0.04813722352182893
Candidate: 0x6b, Correlation: -0.04812893356821737
Candidate: 0xec, Correlation: -0.04806434864394854
Candidate: 0xa1, Correlation: -0.0480287656275079
Candidate: 0x19, Correlation: -0.04800415549096532
Candidate: 0xf3, Correlation: -0.04800185949774725
Candidate: 0x28, Correlation: -0.04799297461873874
Candidate: 0x74, Correlation: -0.04794636894700404
Candidate: 0x84, Correlation: -0.04791693478233448
Candidate: 0xbb, Correlation: -0.047905521311340835
Candidate: 0x18, Correlation: -0.04788927365053891
Candidate: 0x65, Correlation: -0.04772317530439887
Candidate: 0x68, Correlation: -0.0476750503635857
Candidate: 0x5d, Correlation: -0.04759075093466347
Candidate: 0x63, Correlation: -0.047572528117237105
Candidate: 0x66, Correlation: -0.047456027323683564
Candidate: 0x6e, Correlation: -0.04727867601297704
Candidate: 0x5c, Correlation: -0.04708429813218746
Candidate: 0x57, Correlation: -0.04695048735751656
Candidate: 0x9, Correlation: -0.04694979397090178
Candidate: 0x64, Correlation: -0.046939206892551606
Candidate: 0x38, Correlation: -0.04667822430761804
Candidate: 0x87, Correlation: -0.046586748336963975
Candidate: 0xd1, Correlation: -0.046567064734612494
Candidate: 0xf4, Correlation: -0.04648429713130727
Candidate: 0x5, Correlation: -0.04644100005991866
Candidate: 0xf7, Correlation: -0.04632061249498525
Candidate: 0xd3, Correlation: -0.046176488726677054
Candidate: 0xcc, Correlation: -0.04614355630920978
Candidate: 0x1, Correlation: -0.04613185296735554
Candidate: 0x7f, Correlation: -0.045801440223493
Candidate: 0x41, Correlation: -0.045714307120385655
Candidate: 0x27, Correlation: -0.045683608100841426
Candidate: 0xf5, Correlation: -0.045679353100177685
Candidate: 0xf1, Correlation: -0.04562920143780536
Candidate: 0xef, Correlation: -0.04554034535439489
Candidate: 0x56, Correlation: -0.04551890043414652
Candidate: 0x4e, Correlation: -0.04529995684568426
Candidate: 0xe4, Correlation: -0.04513570063643459
Candidate: 0xfb, Correlation: -0.04465252175487726
Candidate: 0x6d, Correlation: -0.044612736453899765
Candidate: 0x13, Correlation: -0.04435951062466979
Candidate: 0x47, Correlation: -0.04425139633176415
Candidate: 0xd0, Correlation: -0.04390214966921246
Candidate: 0x75, Correlation: -0.0438060247563441
Candidate: 0x3, Correlation: -0.0437861874881052
Candidate: 0xbf, Correlation: -0.0435293363894267
Candidate: 0x17, Correlation: -0.043376046905213
Candidate: 0x85, Correlation: -0.042172522262442676
Candidate: 0x26, Correlation: -0.041861520637075635
Candidate: 0x83, Correlation: -0.041752222099903064
