Candidate: 0xa6, Correlation: -0.13250491597996847
Candidate: 0x55, Correlation: -0.13233243093320307
Candidate: 0x59, Correlation: -0.13202310497182393
Candidate: 0x85, Correlation: -0.13178108708239386
Candidate: 0x72, Correlation: -0.13093294248398166
Candidate: 0x97, Correlation: -0.12788434588397407
Candidate: 0x26, Correlation: -0.12770655187939323
Candidate: 0x21, Correlation: -0.1250859144818564
Candidate: 0xcb, Correlation: -0.12389902389490742
Candidate: 0x89, Correlation: -0.12376260142202235
Candidate: 0xba, Correlation: -0.12372719082646484
Candidate: 0x2d, Correlation: -0.12324099791777537
Candidate: 0xbd, Correlation: -0.12255491787694382
Candidate: 0xb0, Correlation: -0.12074766046143345
Candidate: 0xae, Correlation: -0.11984183315721673
Candidate: 0x13, Correlation: -0.11938428714163654
Candidate: 0x2b, Correlation: -0.1190138972401074
Candidate: 0x28, Correlation: -0.11817358872648867
Candidate: 0xb8, Correlation: -0.11812712349531787
Candidate: 0x84, Correlation: -0.11782668188502213
Candidate: 0xd9, Correlation: -0.11757247081819935
Candidate: 0x51, Correlation: -0.1173830115364169
Candidate: 0xb3, Correlation: -0.11522403206274552
Candidate: 0xc0, Correlation: -0.11497820179445421
Candidate: 0x5c, Correlation: -0.11349633328512136
Candidate: 0x9a, Correlation: -0.11344463343154955
Candidate: 0x8c, Correlation: -0.11328535355841109
Candidate: 0xcd, Correlation: -0.1129188571510463
Candidate: 0x49, Correlation: -0.11250283000950904
Candidate: 0x2c, Correlation: -0.11219981302784302
Candidate: 0xbc, Correlation: -0.1114750965987087
Candidate: 0x98, Correlation: -0.11026787698015418
Candidate: 0x63, Correlation: -0.10940366644168759
Candidate: 0x53, Correlation: -0.1085271897040752
Candidate: 0xc1, Correlation: -0.1083241548828416
Candidate: 0x15, Correlation: -0.10746597981610652
Candidate: 0x6b, Correlation: -0.10681507329700488
Candidate: 0x65, Correlation: -0.10667102189138677
Candidate: 0x8a, Correlation: -0.10574707046324257
Candidate: 0x9d, Correlation: -0.10494077934633589
Candidate: 0xa3, Correlation: -0.1026971429267359
Candidate: 0x70, Correlation: -0.10251708035850095
Candidate: 0xc6, Correlation: -0.10152087628214798
Candidate: 0x9f, Correlation: -0.10142136454839566
