Candidate: 0x33, Correlation: -0.07289815898445078
Candidate: 0x56, Correlation: -0.0723595577873228
Candidate: 0xd3, Correlation: -0.07184248976926733
Candidate: 0x5a, Correlation: -0.07085733485814046
Candidate: 0x65, Correlation: -0.07068760524840514
Candidate: 0x2f, Correlation: -0.0702537414283333
Candidate: 0x5d, Correlation: -0.0692522397089817
Candidate: 0x8d, Correlation: -0.06749278097181971
Candidate: 0x86, Correlation: -0.0674115671501776
Candidate: 0x3a, Correlation: -0.0672671907253947
Candidate: 0x8a, Correlation: -0.06716611869107333
Candidate: 0x8e, Correlation: -0.06592109191854262
Candidate: 0xcf, Correlation: -0.06536618863113568
Candidate: 0x5b, Correlation: -0.06427707572611494
Candidate: 0x9b, Correlation: -0.06404869330991603
Candidate: 0x92, Correlation: -0.06372511604579997
Candidate: 0x6b, Correlation: -0.06255470818426423
Candidate: 0x77, Correlation: -0.06250944608050577
Candidate: 0x53, Correlation: -0.0622569365886287
Candidate: 0x96, Correlation: -0.061230626155663964
Candidate: 0x88, Correlation: -0.06116078893312047
Candidate: 0x90, Correlation: -0.06027958418151486
Candidate: 0x7a, Correlation: -0.05933500808633754
Candidate: 0x8b, Correlation: -0.05908778988698461
Candidate: 0x2d, Correlation: -0.05893081540654976
Candidate: 0x73, Correlation: -0.05865189592896441
Candidate: 0x31, Correlation: -0.05759021860020579
Candidate: 0x4a, Correlation: -0.057344589632765355
Candidate: 0x46, Correlation: -0.05689253485856885
Candidate: 0xb1, Correlation: -0.05668047675361401
Candidate: 0x4e, Correlation: -0.05593263637676417
Candidate: 0x6f, Correlation: -0.05286077624221655
Candidate: 0x87, Correlation: -0.05140487247566421
Candidate: 0x6d, Correlation: -0.051112706919167056
Candidate: 0x55, Correlation: -0.05079979648523172
Candidate: 0x71, Correlation: -0.05042568337188071
Candidate: 0x91, Correlation: -0.048352965201240015
Candidate: 0x95, Correlation: -0.048318336281337575
Candidate: 0x8f, Correlation: -0.04629924174039735
Candidate: 0x89, Correlation: -0.045976574595605425
Candidate: 0x79, Correlation: -0.0453923182420751
Candidate: 0x75, Correlation: -0.043539908218441066
Candidate: 0x4f, Correlation: -0.04114975995655461
Candidate: 0x51, Correlation: -0.0369897077683522
