Candidate: 0x57, Correlation: -0.05296754836040371
Candidate: 0xe9, Correlation: -0.052813845875040503
Candidate: 0x1d, Correlation: -0.052804890642137677
Candidate: 0xac, Correlation: -0.05280460915986365
Candidate: 0x9e, Correlation: -0.05279141395676497
Candidate: 0xa8, Correlation: -0.052788068905801656
Candidate: 0x14, Correlation: -0.05273222910169197
Candidate: 0x24, Correlation: -0.05271144484531723
Candidate: 0x69, Correlation: -0.05268562493031697
Candidate: 0xcc, Correlation: -0.05260939002336656
Candidate: 0x21, Correlation: -0.05255078350532791
Candidate: 0x6e, Correlation: -0.05250461231788214
Candidate: 0x26, Correlation: -0.05246697295942157
Candidate: 0x47, Correlation: -0.052358492027645386
Candidate: 0x38, Correlation: -0.05231771745030042
Candidate: 0x72, Correlation: -0.05211518027402167
Candidate: 0x96, Correlation: -0.052038830507733204
Candidate: 0x4c, Correlation: -0.05201317651216783
Candidate: 0xd5, Correlation: -0.05198126732660588
Candidate: 0xc8, Correlation: -0.05188552736386606
Candidate: 0xf0, Correlation: -0.051798475914992106
Candidate: 0x71, Correlation: -0.051794637899560764
Candidate: 0x8a, Correlation: -0.051785339543009755
Candidate: 0x2, Correlation: -0.05175045160520089
Candidate: 0xe1, Correlation: -0.051698870777760635
Candidate: 0x92, Correlation: -0.05165659756772551
Candidate: 0x41, Correlation: -0.051585594089809936
Candidate: 0x75, Correlation: -0.051584363424225156
Candidate: 0x2e, Correlation: -0.05149644503995594
Candidate: 0xa4, Correlation: -0.051291747752418224
Candidate: 0x82, Correlation: -0.05127881481213042
Candidate: 0x59, Correlation: -0.05127450390680501
Candidate: 0x1e, Correlation: -0.05126355186610772
Candidate: 0xc9, Correlation: -0.051252599215188745
Candidate: 0x48, Correlation: -0.05110460728820011
Candidate: 0xf1, Correlation: -0.05107064666542847
Candidate: 0x8c, Correlation: -0.051069680839379045
Candidate: 0x22, Correlation: -0.05091062364879929
Candidate: 0x2a, Correlation: -0.05068923977730138
Candidate: 0xc4, Correlation: -0.05065668191488743
Candidate: 0x63, Correlation: -0.05064369803412079
Candidate: 0x6c, Correlation: -0.050418562712491295
Candidate: 0xa1, Correlation: -0.05028850562625622
Candidate: 0x64, Correlation: -0.05013679867494216
Candidate: 0xd, Correlation: -0.05010950810524799
Candidate: 0x53, Correlation: -0.050108266685229344
Candidate: 0x30, Correlation: -0.04999197588066231
Candidate: 0x20, Correlation: -0.04990934749709335
Candidate: 0x89, Correlation: -0.04966477603076289
Candidate: 0x44, Correlation: -0.049606361923942945
Candidate: 0x10, Correlation: -0.0495760394702866
Candidate: 0xe7, Correlation: -0.049574278491556135
Candidate: 0x52, Correlation: -0.04952048539118833
Candidate: 0x55, Correlation: -0.049491644755125776
Candidate: 0x98, Correlation: -0.04940737501421817
Candidate: 0x12, Correlation: -0.04938783840998648
Candidate: 0x2f, Correlation: -0.04926291063776114
Candidate: 0x4a, Correlation: -0.0488641537671679
Candidate: 0x61, Correlation: -0.048708651084415674
Candidate: 0x90, Correlation: -0.048642806771764475
