Candidate: 0xa9, Correlation: -0.08803417805700064
Candidate: 0xb2, Correlation: -0.08577831351774669
Candidate: 0xb4, Correlation: -0.08418678463335219
Candidate: 0x49, Correlation: -0.08249129725587702
Candidate: 0xd6, Correlation: -0.08108994484545132
Candidate: 0xb0, Correlation: -0.08038254151944892
Candidate: 0xc3, Correlation: -0.07998874614716556
Candidate: 0x3e, Correlation: -0.07941648868101393
Candidate: 0x1d, Correlation: -0.07913780185418334
Candidate: 0x3c, Correlation: -0.0790442284366282
Candidate: 0x7e, Correlation: -0.0789450594191923
Candidate: 0x81, Correlation: -0.07737952453829176
Candidate: 0xae, Correlation: -0.07710103813953885
Candidate: 0xc1, Correlation: -0.07647014508393936
Candidate: 0xa5, Correlation: -0.07482001168474538
Candidate: 0xb1, Correlation: -0.07422142695925399
Candidate: 0x7d, Correlation: -0.07366001958234651
Candidate: 0xba, Correlation: -0.07215032783943552
Candidate: 0x41, Correlation: -0.07115469002685401
Candidate: 0x74, Correlation: -0.07004927253299269
Candidate: 0xd5, Correlation: -0.06902198690568483
Candidate: 0xce, Correlation: -0.06880361431580458
Candidate: 0x6c, Correlation: -0.0683097723458214
Candidate: 0x71, Correlation: -0.06826171240743537
Candidate: 0xad, Correlation: -0.0677259789474234
Candidate: 0x31, Correlation: -0.0674294996331782
Candidate: 0xbc, Correlation: -0.06455948129839793
Candidate: 0xda, Correlation: -0.06392685737150618
Candidate: 0x7a, Correlation: -0.06361144093970511
Candidate: 0xbe, Correlation: -0.06357654615312469
Candidate: 0x3a, Correlation: -0.06335786624898875
Candidate: 0xc9, Correlation: -0.0607837026474582
Candidate: 0xab, Correlation: -0.06014619945726545
Candidate: 0x55, Correlation: -0.05818433124812222
Candidate: 0x72, Correlation: -0.05781747348413623
Candidate: 0xc5, Correlation: -0.05762432470160502
Candidate: 0x91, Correlation: -0.05754311892550656
Candidate: 0x3d, Correlation: -0.05616621211017039
Candidate: 0xa1, Correlation: -0.05588481525421316
Candidate: 0x51, Correlation: -0.055597026814121014
Candidate: 0x5d, Correlation: -0.054408466345811916
Candidate: 0xbd, Correlation: -0.053712337276610525
Candidate: 0x2d, Correlation: -0.05305306863707854
Candidate: 0x4d, Correlation: -0.05269003115141848
Candidate: 0x6d, Correlation: -0.05140369373016106
Candidate: 0x9d, Correlation: -0.05071629470618783
Candidate: 0xcd, Correlation: -0.04950853820746854
Candidate: 0x95, Correlation: -0.04940487223888088
Candidate: 0x6e, Correlation: -0.04849059617008723
Candidate: 0x65, Correlation: -0.0483703667726832
Candidate: 0x8d, Correlation: -0.04768013014262907
Candidate: 0x85, Correlation: -0.046342533686926375
Candidate: 0xcb, Correlation: -0.0448753402397044
Candidate: 0x61, Correlation: -0.04251987988631127
