Candidate: 0xfc, Correlation: -0.1279901109978068
Candidate: 0xf4, Correlation: -0.12752778941202503
Candidate: 0x5b, Correlation: -0.12684399194270735
Candidate: 0xaa, Correlation: -0.12607897263598533
Candidate: 0x94, Correlation: -0.12554118463622277
Candidate: 0x89, Correlation: -0.12486697559420472
Candidate: 0x2b, Correlation: -0.12450901915896426
Candidate: 0x7c, Correlation: -0.12412757825643642
Candidate: 0x9, Correlation: -0.12353683095590327
Candidate: 0xf, Correlation: -0.12317688399369324
Candidate: 0x5d, Correlation: -0.12300480398346825
Candidate: 0x8d, Correlation: -0.12278727420525865
Candidate: 0xe5, Correlation: -0.12252234160436938
Candidate: 0x77, Correlation: -0.12016029220908735
Candidate: 0x4c, Correlation: -0.11972364512846667
Candidate: 0xd4, Correlation: -0.11964178693330182
Candidate: 0x7d, Correlation: -0.11825825568799907
Candidate: 0xfd, Correlation: -0.1178176433896693
Candidate: 0xa5, Correlation: -0.1168488632928251
Candidate: 0xa, Correlation: -0.11545624024700213
Candidate: 0x8a, Correlation: -0.11399468756213674
Candidate: 0x8c, Correlation: -0.11225159102487998
Candidate: 0xfa, Correlation: -0.10940120446003705
Candidate: 0x71, Correlation: -0.10723422873058451
Candidate: 0xe8, Correlation: -0.1069974525732756
Candidate: 0x6d, Correlation: -0.1067617940094462
Candidate: 0x91, Correlation: -0.10640144149561272
Candidate: 0x3a, Correlation: -0.10601339806378984
Candidate: 0xc, Correlation: -0.1058739898382969
Candidate: 0x98, Correlation: -0.10443103440183393
Candidate: 0x6e, Correlation: -0.1037684768621331
Candidate: 0x99, Correlation: -0.10341757785407896
Candidate: 0x9d, Correlation: -0.1023383753703321
Candidate: 0xd, Correlation: -0.1021767371694584
Candidate: 0x95, Correlation: -0.10147317159850999
Candidate: 0x79, Correlation: -0.100157500084796
Candidate: 0x29, Correlation: -0.09942746697965774
Candidate: 0xed, Correlation: -0.09758635191319387
Candidate: 0x70, Correlation: -0.09698093503985265
Candidate: 0x38, Correlation: -0.0969211955101791
Candidate: 0x75, Correlation: -0.09665348618800887
Candidate: 0x2e, Correlation: -0.09636152351359686
Candidate: 0x4e, Correlation: -0.0960921457895134
Candidate: 0x7a, Correlation: -0.09524915424966234
Candidate: 0x15, Correlation: -0.09428075326408812
Candidate: 0x2c, Correlation: -0.09167392779106937
Candidate: 0x6c, Correlation: -0.09052592453977969
Candidate: 0x1a, Correlation: -0.09009647820077658
Candidate: 0x50, Correlation: -0.08898499948586365
Candidate: 0xf9, Correlation: -0.08882817550094005
Candidate: 0x36, Correlation: -0.08880287163162907
Candidate: 0x11, Correlation: -0.0887666986591241
Candidate: 0x5c, Correlation: -0.08852634052272543
Candidate: 0x30, Correlation: -0.08787026038553257
Candidate: 0x58, Correlation: -0.08714545182344072
Candidate: 0x19, Correlation: -0.08643956581262952
Candidate: 0xf1, Correlation: -0.08462144438775855
Candidate: 0x16, Correlation: -0.08404373166692068
Candidate: 0xee, Correlation: -0.08392170094573738
Candidate: 0x5a, Correlation: -0.08272381907781554
Candidate: 0x56, Correlation: -0.08212582136711664
Candidate: 0x1c, Correlation: -0.08206423333551305
Candidate: 0x6a, Correlation: -0.0819119617699991
Candidate: 0x2a, Correlation: -0.08135069777765355
Candidate: 0x28, Correlation: -0.08014847171497401
Candidate: 0xf8, Correlation: -0.08004927678834915
Candidate: 0xe, Correlation: -0.07997472339729664
Candidate: 0x18, Correlation: -0.07896857068675542
Candidate: 0x10, Correlation: -0.07716079031958276
Candidate: 0x78, Correlation: -0.07655318798949107
Candidate: 0x8e, Correlation: -0.07566820117276732
Candidate: 0x68, Correlation: -0.07469195341273983
Candidate: 0xf5, Correlation: -0.07272548448681995
Candidate: 0xf0, Correlation: -0.07258458021091685
Candidate: 0x5e, Correlation: -0.07222066787516324
Candidate: 0x1d, Correlation: -0.07169004624578085
Candidate: 0x69, Correlation: -0.07116659907664068
Candidate: 0x76, Correlation: -0.07040253313501167
Candidate: 0x1e, Correlation: -0.06940653793707408
Candidate: 0x90, Correlation: -0.06875149301308273
Candidate: 0x96, Correlation: -0.06573722520064523
Candidate: 0xe9, Correlation: -0.06550346518747376
Candidate: 0xf6, Correlation: -0.06123883478388272
