Candidate: 0x8, Correlation: -0.1064452805537033
Candidate: 0x41, Correlation: -0.10555989083366432
Candidate: 0x79, Correlation: -0.10438930970233608
Candidate: 0x47, Correlation: -0.10365907129133903
Candidate: 0x5f, Correlation: -0.10350105588276334
Candidate: 0x78, Correlation: -0.10320893518739245
Candidate: 0x83, Correlation: -0.1031653771870422
Candidate: 0x51, Correlation: -0.10296866096438577
Candidate: 0x85, Correlation: -0.10289619610698336
Candidate: 0xdb, Correlation: -0.10091058465069026
Candidate: 0xe1, Correlation: -0.09955957094625367
Candidate: 0x29, Correlation: -0.09937273202003805
Candidate: 0x49, Correlation: -0.09832817384424149
Candidate: 0xa1, Correlation: -0.09817533650755271
Candidate: 0xc9, Correlation: -0.09780224759737112
Candidate: 0x75, Correlation: -0.09531910143336553
Candidate: 0xb7, Correlation: -0.09500996972567234
Candidate: 0x8f, Correlation: -0.09483542962507048
Candidate: 0xfa, Correlation: -0.09402072755750604
Candidate: 0x7d, Correlation: -0.0921082075536847
Candidate: 0xdd, Correlation: -0.09185960285909676
Candidate: 0xf3, Correlation: -0.0905655658867189
Candidate: 0x89, Correlation: -0.08855728370336839
Candidate: 0xb3, Correlation: -0.08770383032340567
Candidate: 0x87, Correlation: -0.08645481631725759
Candidate: 0xb, Correlation: -0.08616952053563956
Candidate: 0x53, Correlation: -0.08593627200534773
Candidate: 0x1b, Correlation: -0.08493822964802061
Candidate: 0xe3, Correlation: -0.08488487010567408
Candidate: 0xfb, Correlation: -0.08397565118964821
Candidate: 0x7, Correlation: -0.08247306556944348
Candidate: 0x73, Correlation: -0.0804663945545351
Candidate: 0xfc, Correlation: -0.08018773897963258
Candidate: 0xc1, Correlation: -0.07836180191164706
Candidate: 0xd, Correlation: -0.0766138254451583
Candidate: 0x1, Correlation: -0.07518912349340065
Candidate: 0xbf, Correlation: -0.07016468112551373
Candidate: 0xbb, Correlation: -0.06889951448037628
Candidate: 0x8b, Correlation: -0.06793873300753982
Candidate: 0x9f, Correlation: -0.06770894210980272
Candidate: 0x55, Correlation: -0.06618187427193506
Candidate: 0x9, Correlation: -0.06541834490007302
Candidate: 0x7b, Correlation: -0.06127756695786828
Candidate: 0xc7, Correlation: -0.06043836327528493
Candidate: 0x93, Correlation: -0.05838089879178124
Candidate: 0x61, Correlation: -0.05500928027371001
Candidate: 0xe9, Correlation: -0.04700644188168638
Candidate: 0xe5, Correlation: -0.041526586984997636
Candidate: 0xeb, Correlation: -0.0410493539022381
Candidate: 0x63, Correlation: -0.03639103150671797
