Candidate: 0xee, Correlation: -0.1405675300594042
Candidate: 0x14, Correlation: -0.139773456744255
Candidate: 0x7a, Correlation: -0.1388840330532447
Candidate: 0x57, Correlation: -0.13853143975475238
Candidate: 0x3d, Correlation: -0.13795681765494705
Candidate: 0xea, Correlation: -0.13763127009645384
Candidate: 0x72, Correlation: -0.13755419565754423
Candidate: 0xd, Correlation: -0.13619897300890613
Candidate: 0xed, Correlation: -0.13558137711326496
Candidate: 0x1a, Correlation: -0.13416586639837405
Candidate: 0xd5, Correlation: -0.13376159899451925
Candidate: 0xda, Correlation: -0.13341034320130357
Candidate: 0x5a, Correlation: -0.13280476800069388
Candidate: 0x4a, Correlation: -0.13269353479309293
Candidate: 0x19, Correlation: -0.13246274686789647
Candidate: 0x8c, Correlation: -0.132363815285412
Candidate: 0x59, Correlation: -0.13020033501797354
Candidate: 0xe6, Correlation: -0.1294607153570925
Candidate: 0x3b, Correlation: -0.1291910641035063
Candidate: 0xe5, Correlation: -0.12893852365047256
Candidate: 0x15, Correlation: -0.12839424796262325
Candidate: 0x6a, Correlation: -0.1276866787582036
Candidate: 0xdb, Correlation: -0.12715327523773315
Candidate: 0x71, Correlation: -0.12595712482934904
Candidate: 0x77, Correlation: -0.1256145135827192
Candidate: 0x51, Correlation: -0.12309796513178337
Candidate: 0x5e, Correlation: -0.12190898052463574
Candidate: 0xbb, Correlation: -0.12176691645226409
Candidate: 0x49, Correlation: -0.12171629915734045
Candidate: 0xf4, Correlation: -0.1217047456930863
Candidate: 0xeb, Correlation: -0.12135552441492514
Candidate: 0xf7, Correlation: -0.12033819698611178
Candidate: 0x39, Correlation: -0.12002357485367593
Candidate: 0x70, Correlation: -0.11941156196453666
Candidate: 0xf1, Correlation: -0.11886332958425858
Candidate: 0x69, Correlation: -0.11717721727512033
Candidate: 0x56, Correlation: -0.11705362041058069
Candidate: 0x84, Correlation: -0.1166430606046253
Candidate: 0xfb, Correlation: -0.11635592983517022
Candidate: 0x75, Correlation: -0.11619048689864189
Candidate: 0x6c, Correlation: -0.11591962267460397
Candidate: 0x5, Correlation: -0.11565678610694025
Candidate: 0xf8, Correlation: -0.11434790981329135
Candidate: 0x5d, Correlation: -0.11425865486883788
Candidate: 0xb9, Correlation: -0.11394247051001152
Candidate: 0xf3, Correlation: -0.11259033095449916
Candidate: 0xf5, Correlation: -0.1113321230637694
Candidate: 0x33, Correlation: -0.10818713647154145
Candidate: 0xef, Correlation: -0.10717940107322059
Candidate: 0xf6, Correlation: -0.10626061402286802
Candidate: 0xd1, Correlation: -0.10581064982027809
Candidate: 0x3a, Correlation: -0.1051573433548417
Candidate: 0x4f, Correlation: -0.10500215184511714
Candidate: 0x6f, Correlation: -0.10479785250681165
Candidate: 0x50, Correlation: -0.10431732302782484
Candidate: 0xb3, Correlation: -0.10391063923376097
Candidate: 0x68, Correlation: -0.10377390860075075
Candidate: 0xe9, Correlation: -0.1025347689140247
Candidate: 0x76, Correlation: -0.10193816073839851
Candidate: 0xd8, Correlation: -0.10171771788302891
Candidate: 0xba, Correlation: -0.10065099657545322
Candidate: 0x38, Correlation: -0.09999215135088982
Candidate: 0x55, Correlation: -0.09955717988365541
Candidate: 0x31, Correlation: -0.09948723966314667
Candidate: 0xe7, Correlation: -0.09932285958693277
Candidate: 0x94, Correlation: -0.09855436944000105
Candidate: 0x67, Correlation: -0.09732959896475278
Candidate: 0xcb, Correlation: -0.09630164947509523
Candidate: 0x74, Correlation: -0.09572901128382079
Candidate: 0x6d, Correlation: -0.09520043678002908
Candidate: 0x48, Correlation: -0.09406444999149859
Candidate: 0xc9, Correlation: -0.09304634302889395
Candidate: 0x78, Correlation: -0.0887893333443147
Candidate: 0xd9, Correlation: -0.08770924905557324
Candidate: 0x4e, Correlation: -0.08522899706935465
Candidate: 0x32, Correlation: -0.08501333047157907
Candidate: 0x58, Correlation: -0.08199224581267811
Candidate: 0x6e, Correlation: -0.0813075740787117
Candidate: 0x2b, Correlation: -0.08002206462272823
Candidate: 0x47, Correlation: -0.07992972487768203
Candidate: 0x54, Correlation: -0.07925963978295801
Candidate: 0x4d, Correlation: -0.07904634846074314
Candidate: 0x46, Correlation: -0.07902697726654305
Candidate: 0xf9, Correlation: -0.07775191261200243
Candidate: 0xfa, Correlation: -0.0737811520008708
Candidate: 0x29, Correlation: -0.06665454731303988
Candidate: 0xab, Correlation: -0.06501283213869462
Candidate: 0x66, Correlation: -0.05770012704072669
Candidate: 0x2a, Correlation: -0.05284028973150081
Candidate: 0x45, Correlation: -0.050104264321740845
Candidate: 0x65, Correlation: -0.04892631495365963
