Candidate: 0x96, Correlation: -0.18857568901303395
Candidate: 0x64, Correlation: -0.18846007784479113
Candidate: 0xcc, Correlation: -0.18771662355657956
Candidate: 0x11, Correlation: -0.18676424433129354
Candidate: 0xcf, Correlation: -0.1866975059116146
Candidate: 0x5f, Correlation: -0.18470593088545117
Candidate: 0x52, Correlation: -0.18464607629140473
Candidate: 0xff, Correlation: -0.18438838844130634
Candidate: 0xe, Correlation: -0.18386282856412672
Candidate: 0x56, Correlation: -0.1822103999768572
Candidate: 0xb6, Correlation: -0.1818217268525214
Candidate: 0x74, Correlation: -0.1804353692596603
Candidate: 0x80, Correlation: -0.17975414174568338
Candidate: 0x3f, Correlation: -0.17855516495376503
Candidate: 0x34, Correlation: -0.17747743496749516
Candidate: 0xfc, Correlation: -0.17662877536363306
Candidate: 0x57, Correlation: -0.1752336859825371
Candidate: 0xb4, Correlation: -0.17383846107347653
Candidate: 0x18, Correlation: -0.17315781848707332
Candidate: 0x7c, Correlation: -0.17131135036745784
Candidate: 0xb9, Correlation: -0.17007491291436205
Candidate: 0x19, Correlation: -0.16891455933157135
Candidate: 0xbe, Correlation: -0.16709270795726328
Candidate: 0x58, Correlation: -0.1627237998528392
Candidate: 0x3e, Correlation: -0.1600922788578602
Candidate: 0xb1, Correlation: -0.1600019259826751
Candidate: 0x44, Correlation: -0.15841980535431419
Candidate: 0xb5, Correlation: -0.1583205661823551
Candidate: 0x97, Correlation: -0.1578928934377163
Candidate: 0xc1, Correlation: -0.156599926050121
Candidate: 0xc4, Correlation: -0.15525972778247601
Candidate: 0x4c, Correlation: -0.15452850009649438
Candidate: 0x70, Correlation: -0.1538092562875901
Candidate: 0x16, Correlation: -0.1529073262951361
Candidate: 0x43, Correlation: -0.15202844424459414
Candidate: 0xc7, Correlation: -0.14693072876356422
Candidate: 0xfe, Correlation: -0.14482461005600494
Candidate: 0x1, Correlation: -0.14468282049011277
Candidate: 0x6f, Correlation: -0.1438252781082038
Candidate: 0x4f, Correlation: -0.14244268467128543
Candidate: 0x0, Correlation: -0.1418029445022784
Candidate: 0x50, Correlation: -0.14154976781408057
