Candidate: 0x73, Correlation: -0.12476157459118208
Candidate: 0x8b, Correlation: -0.12436660013750887
Candidate: 0xf7, Correlation: -0.12327257021081191
Candidate: 0x60, Correlation: -0.12289493986725655
Candidate: 0x5d, Correlation: -0.1223347005911469
Candidate: 0x2e, Correlation: -0.12146974517306477
Candidate: 0x9, Correlation: -0.12136329391458134
Candidate: 0x68, Correlation: -0.12066277546977829
Candidate: 0x19, Correlation: -0.12038404496417494
Candidate: 0x93, Correlation: -0.11922143197391954
Candidate: 0xa3, Correlation: -0.11898281342620533
Candidate: 0xe4, Correlation: -0.11862043017526812
Candidate: 0xa0, Correlation: -0.1184641029013863
Candidate: 0x39, Correlation: -0.11837174971282093
Candidate: 0x1a, Correlation: -0.11554132791402368
Candidate: 0xf3, Correlation: -0.11520523106383061
Candidate: 0xee, Correlation: -0.11452439092318993
Candidate: 0x5b, Correlation: -0.11408578964937553
Candidate: 0xf9, Correlation: -0.11365557643352783
Candidate: 0xd, Correlation: -0.11242282916710938
Candidate: 0x3, Correlation: -0.11177582923332967
Candidate: 0xa4, Correlation: -0.11136518284482358
Candidate: 0x7, Correlation: -0.11113181134622675
Candidate: 0x99, Correlation: -0.11062302578410617
Candidate: 0x2b, Correlation: -0.11060512383821162
Candidate: 0x2, Correlation: -0.11004699595286001
Candidate: 0x31, Correlation: -0.10958972793991183
Candidate: 0xfc, Correlation: -0.10915936716346061
Candidate: 0xab, Correlation: -0.10908796853051661
Candidate: 0x9c, Correlation: -0.10718960626072271
Candidate: 0x9e, Correlation: -0.10643840498226577
Candidate: 0x3d, Correlation: -0.10628123405014914
Candidate: 0xe9, Correlation: -0.1060963489359526
Candidate: 0xf8, Correlation: -0.10382693023231127
Candidate: 0x91, Correlation: -0.1035691729909803
Candidate: 0x69, Correlation: -0.10351600825947779
Candidate: 0x96, Correlation: -0.1033619548139928
Candidate: 0xda, Correlation: -0.1029767844850309
Candidate: 0xad, Correlation: -0.10186491462474975
Candidate: 0xbd, Correlation: -0.0972916270485302
Candidate: 0x8, Correlation: -0.09698222147184818
Candidate: 0x6b, Correlation: -0.09662347872134039
Candidate: 0xed, Correlation: -0.09653335648214445
Candidate: 0x1c, Correlation: -0.09605864029072488
Candidate: 0x24, Correlation: -0.09586381663441779
Candidate: 0xb, Correlation: -0.09462729073398297
Candidate: 0x5e, Correlation: -0.09431842228198527
Candidate: 0x58, Correlation: -0.09357761368369755
Candidate: 0xe6, Correlation: -0.09250110467036167
Candidate: 0xfb, Correlation: -0.09136652556774896
Candidate: 0xdc, Correlation: -0.09019479956108273
Candidate: 0x9a, Correlation: -0.0894257811100975
Candidate: 0xeb, Correlation: -0.08870378916775792
Candidate: 0xe2, Correlation: -0.086605594505699
Candidate: 0x22, Correlation: -0.08594046279941957
Candidate: 0x2d, Correlation: -0.0856589133970732
Candidate: 0x26, Correlation: -0.07945675943577109
Candidate: 0xa6, Correlation: -0.07864106027287822
Candidate: 0x66, Correlation: -0.07804656514622405
Candidate: 0x64, Correlation: -0.07650731042401741
Candidate: 0xa8, Correlation: -0.07496360883025742
Candidate: 0xa5, Correlation: -0.07378840666511319
Candidate: 0x1b, Correlation: -0.07209996230687582
Candidate: 0xe3, Correlation: -0.07171353764620582
Candidate: 0x18, Correlation: -0.07088291999641061
Candidate: 0x23, Correlation: -0.06891395341217645
Candidate: 0x5a, Correlation: -0.06737098464924486
Candidate: 0x28, Correlation: -0.06674156613178465
Candidate: 0xa9, Correlation: -0.06462100138837192
Candidate: 0xa2, Correlation: -0.06138609560452669
Candidate: 0xdb, Correlation: -0.05785998440019069
Candidate: 0x5c, Correlation: -0.05757497476542591
Candidate: 0x29, Correlation: -0.05685820724074801
Candidate: 0x62, Correlation: -0.05604428014498155
Candidate: 0xe8, Correlation: -0.055938060262806545
