Candidate: 0xed, Correlation: -0.12164073181394089
Candidate: 0x44, Correlation: -0.12002099305443653
Candidate: 0xa9, Correlation: -0.11979364636282111
Candidate: 0x14, Correlation: -0.11911677442343419
Candidate: 0x8d, Correlation: -0.11848693707392294
Candidate: 0x1b, Correlation: -0.11807502784902618
Candidate: 0xd9, Correlation: -0.11744439090942528
Candidate: 0xca, Correlation: -0.11651257766602204
Candidate: 0x1c, Correlation: -0.11617658075242154
Candidate: 0xc, Correlation: -0.1154783882948528
Candidate: 0xb4, Correlation: -0.11463339360526187
Candidate: 0xfd, Correlation: -0.1119412862499359
Candidate: 0x6e, Correlation: -0.11137657506027623
Candidate: 0x24, Correlation: -0.11122343829805076
Candidate: 0x5b, Correlation: -0.11050788158249925
Candidate: 0xa6, Correlation: -0.10443948767114748
Candidate: 0x3c, Correlation: -0.10259295191895632
Candidate: 0x1d, Correlation: -0.10211332182157092
Candidate: 0xfe, Correlation: -0.10149969144581143
Candidate: 0x2e, Correlation: -0.09514264933186235
Candidate: 0x38, Correlation: -0.09502160216659736
Candidate: 0xfa, Correlation: -0.09426719705954568
Candidate: 0x79, Correlation: -0.08897640047524992
Candidate: 0x86, Correlation: -0.08889782508194098
Candidate: 0x16, Correlation: -0.08749580591602295
Candidate: 0xc4, Correlation: -0.08743089392791994
Candidate: 0x4d, Correlation: -0.08482432936894323
Candidate: 0x72, Correlation: -0.08449141344552213
Candidate: 0xe, Correlation: -0.08409803544083057
Candidate: 0x66, Correlation: -0.08247323719870936
Candidate: 0x58, Correlation: -0.08097904556967152
Candidate: 0x2c, Correlation: -0.0804245176643899
Candidate: 0xb0, Correlation: -0.08028940130854381
Candidate: 0x2a, Correlation: -0.07951574759653159
Candidate: 0xf6, Correlation: -0.07935003194024799
Candidate: 0x54, Correlation: -0.07871347192064629
Candidate: 0x7a, Correlation: -0.07753106493321667
Candidate: 0x4c, Correlation: -0.07708304920512732
Candidate: 0x1a, Correlation: -0.0762633778146337
Candidate: 0x34, Correlation: -0.07538456703935394
Candidate: 0xaa, Correlation: -0.07521038085022513
Candidate: 0xb8, Correlation: -0.07202112700351061
Candidate: 0xa4, Correlation: -0.07102012243032829
Candidate: 0x46, Correlation: -0.0706382565917734
Candidate: 0xd7, Correlation: -0.07006181345047093
Candidate: 0x4a, Correlation: -0.06915842818849974
Candidate: 0x8a, Correlation: -0.0688138553133626
