Candidate: 0x13, Correlation: -0.10215384091618242
Candidate: 0x6d, Correlation: -0.1015705006378382
Candidate: 0x70, Correlation: -0.1010565013524639
Candidate: 0xb3, Correlation: -0.10012835021463845
Candidate: 0x71, Correlation: -0.09957797305866264
Candidate: 0xe6, Correlation: -0.0982202375878212
Candidate: 0x56, Correlation: -0.09802357430161196
Candidate: 0x58, Correlation: -0.09731098186568848
Candidate: 0xf2, Correlation: -0.09615023167552704
Candidate: 0xc6, Correlation: -0.09610230400663963
Candidate: 0xf9, Correlation: -0.09546481932229418
Candidate: 0x48, Correlation: -0.09501464954662567
Candidate: 0x3a, Correlation: -0.09461040126850662
Candidate: 0x1f, Correlation: -0.09447827012855244
Candidate: 0x4b, Correlation: -0.09364215218640236
Candidate: 0x5f, Correlation: -0.09257985522039996
Candidate: 0x76, Correlation: -0.09113958422548746
Candidate: 0x8a, Correlation: -0.09006851962247144
Candidate: 0xf1, Correlation: -0.08990244929755677
Candidate: 0x74, Correlation: -0.0897956303756331
Candidate: 0xdf, Correlation: -0.08927858126414413
Candidate: 0xf3, Correlation: -0.08905386079119759
Candidate: 0xba, Correlation: -0.08852102164478616
Candidate: 0x88, Correlation: -0.08819132725494573
Candidate: 0x53, Correlation: -0.08804248088802102
Candidate: 0xab, Correlation: -0.08719487508640922
Candidate: 0x2d, Correlation: -0.08664932592905923
Candidate: 0xd6, Correlation: -0.0858545901187618
Candidate: 0x38, Correlation: -0.08439218229765756
Candidate: 0xca, Correlation: -0.08329330193855845
Candidate: 0x4a, Correlation: -0.08227991007313176
Candidate: 0xf5, Correlation: -0.0801901568445333
Candidate: 0x2b, Correlation: -0.08017565841016172
Candidate: 0x28, Correlation: -0.07857849693538556
Candidate: 0x11, Correlation: -0.0783578737219408
Candidate: 0xf, Correlation: -0.07468997878364084
Candidate: 0x46, Correlation: -0.07389709640483105
Candidate: 0x80, Correlation: -0.07343970025568847
Candidate: 0x68, Correlation: -0.07263240811906183
Candidate: 0xd, Correlation: -0.06988941922491787
Candidate: 0x7c, Correlation: -0.06952401446953108
Candidate: 0xf8, Correlation: -0.06729985535884508
Candidate: 0xb6, Correlation: -0.0654045553218503
Candidate: 0x8, Correlation: -0.06504202563068048
Candidate: 0x16, Correlation: -0.0647342129196484
Candidate: 0xfa, Correlation: -0.0637323104145628
Candidate: 0x0, Correlation: -0.06329511127610829
Candidate: 0xb, Correlation: -0.06235581564904194
Candidate: 0xf6, Correlation: -0.058191748355324764
Candidate: 0x6, Correlation: -0.05422948674619255
Candidate: 0x84, Correlation: -0.053291470445150674
Candidate: 0x36, Correlation: -0.05062553425701585
Candidate: 0xa, Correlation: -0.0375417428339222
