Candidate: 0x5c, Correlation: -0.08915606611006453
Candidate: 0xb5, Correlation: -0.08821566413016517
Candidate: 0xb6, Correlation: -0.08762498427743466
Candidate: 0x3c, Correlation: -0.08668226597890216
Candidate: 0x25, Correlation: -0.08629772260922842
Candidate: 0x7e, Correlation: -0.08616902902542961
Candidate: 0x35, Correlation: -0.08539139954777743
Candidate: 0xe4, Correlation: -0.08532549122459691
Candidate: 0x8a, Correlation: -0.08398271914673172
Candidate: 0x15, Correlation: -0.08398067930422586
Candidate: 0x74, Correlation: -0.08396983522104598
Candidate: 0x9e, Correlation: -0.08381407480098205
Candidate: 0xa2, Correlation: -0.08270119286702497
Candidate: 0x3, Correlation: -0.08164139692632547
Candidate: 0x6a, Correlation: -0.08089190611677234
Candidate: 0x5e, Correlation: -0.08060097257283619
Candidate: 0x75, Correlation: -0.07835088260643369
Candidate: 0x96, Correlation: -0.07815696459712115
Candidate: 0x3b, Correlation: -0.0777763395276249
Candidate: 0x44, Correlation: -0.07745248198950291
Candidate: 0x18, Correlation: -0.07692093380450736
Candidate: 0xb4, Correlation: -0.07589507106234716
Candidate: 0x20, Correlation: -0.07537995380770574
Candidate: 0x84, Correlation: -0.07399875771620952
Candidate: 0x1e, Correlation: -0.07257805013390799
Candidate: 0x7a, Correlation: -0.07232686444854688
Candidate: 0x56, Correlation: -0.07159230606568313
Candidate: 0xe8, Correlation: -0.0715047934034547
Candidate: 0x95, Correlation: -0.07003057968241365
Candidate: 0x83, Correlation: -0.06984597614715321
Candidate: 0xc4, Correlation: -0.06958603951031875
Candidate: 0xe5, Correlation: -0.06805686206845284
Candidate: 0xd5, Correlation: -0.06679010308300884
Candidate: 0x22, Correlation: -0.06635550852054022
Candidate: 0x26, Correlation: -0.06517467266840622
Candidate: 0x4a, Correlation: -0.06444781330377504
Candidate: 0x94, Correlation: -0.06398974674625386
Candidate: 0x7b, Correlation: -0.06258371246377352
Candidate: 0x85, Correlation: -0.06211054871280605
Candidate: 0xd6, Correlation: -0.059349811968505396
Candidate: 0x82, Correlation: -0.05931056527498758
Candidate: 0x7c, Correlation: -0.05877602120221102
