Candidate: 0xbd, Correlation: -0.09419434164964367
Candidate: 0x2b, Correlation: -0.09412373830762798
Candidate: 0x88, Correlation: -0.09392602251336143
Candidate: 0x2a, Correlation: -0.09366402374787876
Candidate: 0x97, Correlation: -0.093659864831342
Candidate: 0x7e, Correlation: -0.09302971151371504
Candidate: 0x65, Correlation: -0.09226934726891817
Candidate: 0xa8, Correlation: -0.09203754139368041
Candidate: 0xe2, Correlation: -0.09155599788162604
Candidate: 0x28, Correlation: -0.09155290760503274
Candidate: 0xbb, Correlation: -0.09139275263751413
Candidate: 0x51, Correlation: -0.09059040160388428
Candidate: 0x5c, Correlation: -0.09034455684828603
Candidate: 0x82, Correlation: -0.09022186688749843
Candidate: 0x72, Correlation: -0.09009057648167602
Candidate: 0x5e, Correlation: -0.08988907907959177
Candidate: 0x59, Correlation: -0.08970166670082799
Candidate: 0x9c, Correlation: -0.08957490749409953
Candidate: 0x58, Correlation: -0.08937122008535876
Candidate: 0xfb, Correlation: -0.08838985207959497
Candidate: 0x57, Correlation: -0.08838096075039005
Candidate: 0x63, Correlation: -0.08806919636359356
Candidate: 0x37, Correlation: -0.08764910078601948
Candidate: 0x9d, Correlation: -0.08757112697075366
Candidate: 0x81, Correlation: -0.08754909707327137
Candidate: 0x24, Correlation: -0.08724964163934343
Candidate: 0xd8, Correlation: -0.08706871910536701
Candidate: 0xc1, Correlation: -0.08638586182243373
Candidate: 0x55, Correlation: -0.08605626178724435
Candidate: 0x38, Correlation: -0.08581005197032594
Candidate: 0xff, Correlation: -0.0853462277575197
Candidate: 0x1e, Correlation: -0.08458847287840483
Candidate: 0x83, Correlation: -0.0840470248474954
Candidate: 0xdb, Correlation: -0.08398768605351414
Candidate: 0xfc, Correlation: -0.08387885167026898
Candidate: 0x90, Correlation: -0.08382995699865342
Candidate: 0x93, Correlation: -0.08371367301985906
Candidate: 0xb7, Correlation: -0.08355629393750448
Candidate: 0x25, Correlation: -0.0829650901781125
Candidate: 0x96, Correlation: -0.08202419613442082
Candidate: 0x87, Correlation: -0.08194489481064016
Candidate: 0x71, Correlation: -0.08164894863849971
Candidate: 0x95, Correlation: -0.08160311419218716
Candidate: 0x5d, Correlation: -0.08090527920038193
Candidate: 0x52, Correlation: -0.08011177130575167
Candidate: 0x2, Correlation: -0.08008175177202151
Candidate: 0x9a, Correlation: -0.07990051249758959
Candidate: 0xf4, Correlation: -0.07886348473442857
Candidate: 0x85, Correlation: -0.0787496538960711
Candidate: 0x3, Correlation: -0.07832666611423326
Candidate: 0x62, Correlation: -0.07708668202367314
Candidate: 0x1d, Correlation: -0.07693524389234131
Candidate: 0x8b, Correlation: -0.07651680206114374
Candidate: 0x1c, Correlation: -0.07581623306793187
Candidate: 0xa7, Correlation: -0.07580193881885253
Candidate: 0x54, Correlation: -0.07577488988299999
Candidate: 0xb8, Correlation: -0.0755260123518197
Candidate: 0x5b, Correlation: -0.07542402658965891
Candidate: 0x7a, Correlation: -0.07522221124460546
Candidate: 0x47, Correlation: -0.07516495828714002
Candidate: 0x53, Correlation: -0.07320835550770738
Candidate: 0x66, Correlation: -0.07230383236433609
Candidate: 0xda, Correlation: -0.07229911175368914
Candidate: 0x4, Correlation: -0.07170430581439081
Candidate: 0xe4, Correlation: -0.07162319249794291
Candidate: 0x1, Correlation: -0.07114153625220722
Candidate: 0xa2, Correlation: -0.06997380200303165
Candidate: 0x76, Correlation: -0.06696432558928925
Candidate: 0xa3, Correlation: -0.06680496601744967
Candidate: 0x22, Correlation: -0.06663774955316824
Candidate: 0x5a, Correlation: -0.06653329271451726
Candidate: 0x56, Correlation: -0.05883612070881988
Candidate: 0xab, Correlation: -0.05853995518332957
Candidate: 0x86, Correlation: -0.05816992353534635
Candidate: 0xaa, Correlation: -0.05739037034302457
Candidate: 0xa6, Correlation: -0.05431187823140297
Candidate: 0x9b, Correlation: -0.0524616042418063
Candidate: 0x1b, Correlation: -0.042383804579761666
Candidate: 0x23, Correlation: -0.04227619989809959
Candidate: 0xa5, Correlation: -0.040042582474017256
