Candidate: 0x3a, Correlation: -0.12755064250863773
Candidate: 0x6a, Correlation: -0.12743831754647234
Candidate: 0x54, Correlation: -0.12583789118995325
Candidate: 0xd1, Correlation: -0.12560073773028435
Candidate: 0xb6, Correlation: -0.12495249334371615
Candidate: 0xb, Correlation: -0.1248329849586446
Candidate: 0xa6, Correlation: -0.12474743689851414
Candidate: 0x52, Correlation: -0.12416392611897427
Candidate: 0x65, Correlation: -0.12331664474623387
Candidate: 0x22, Correlation: -0.1223471802595525
Candidate: 0xfb, Correlation: -0.12203586770106845
Candidate: 0x74, Correlation: -0.12177680869186282
Candidate: 0x59, Correlation: -0.12153753113245479
Candidate: 0xe5, Correlation: -0.12148658332487745
Candidate: 0xcd, Correlation: -0.12148495739533983
Candidate: 0xf, Correlation: -0.12147797143164402
Candidate: 0x79, Correlation: -0.12111813882619517
Candidate: 0x19, Correlation: -0.12051985985219381
Candidate: 0x39, Correlation: -0.1205068282826026
Candidate: 0x86, Correlation: -0.12007881316680442
Candidate: 0x6c, Correlation: -0.11995377606097303
Candidate: 0x4c, Correlation: -0.11969510459759287
Candidate: 0xe6, Correlation: -0.11936989013812925
Candidate: 0x88, Correlation: -0.11838863788623892
Candidate: 0xad, Correlation: -0.11834586329374044
Candidate: 0x67, Correlation: -0.11793360358887728
Candidate: 0xed, Correlation: -0.11781016669597291
Candidate: 0x31, Correlation: -0.11618324120140981
Candidate: 0xfa, Correlation: -0.11596977440105027
Candidate: 0x99, Correlation: -0.11595916574170459
Candidate: 0x49, Correlation: -0.11566061921646534
Candidate: 0x36, Correlation: -0.1153545204322609
Candidate: 0x16, Correlation: -0.11362283658033324
Candidate: 0x48, Correlation: -0.11352311187923766
Candidate: 0xe4, Correlation: -0.1126873375928949
Candidate: 0xc6, Correlation: -0.11224082662017723
Candidate: 0x8e, Correlation: -0.11172135043351196
Candidate: 0xb0, Correlation: -0.1097336884975289
Candidate: 0xeb, Correlation: -0.1091654867972218
Candidate: 0x96, Correlation: -0.10886326378518749
Candidate: 0xef, Correlation: -0.10861795979355916
Candidate: 0xf3, Correlation: -0.10678263201594673
Candidate: 0x55, Correlation: -0.10597558154504873
Candidate: 0x4d, Correlation: -0.10544312989969166
Candidate: 0x90, Correlation: -0.10396029281589518
Candidate: 0x2e, Correlation: -0.10391890252849757
Candidate: 0xb5, Correlation: -0.10362724241152046
Candidate: 0xae, Correlation: -0.10324022680718227
Candidate: 0x89, Correlation: -0.10234031454534213
Candidate: 0x56, Correlation: -0.10186225466095392
Candidate: 0x30, Correlation: -0.10164545252194752
Candidate: 0x95, Correlation: -0.10150121110648813
Candidate: 0x69, Correlation: -0.10103260092105286
Candidate: 0x11, Correlation: -0.1008950346894562
Candidate: 0xe, Correlation: -0.09874663184775564
Candidate: 0x51, Correlation: -0.09872863936329145
Candidate: 0xb1, Correlation: -0.09813567868532808
Candidate: 0x70, Correlation: -0.09738382717963116
Candidate: 0xf6, Correlation: -0.09664046498425373
Candidate: 0xd5, Correlation: -0.0960454785919189
Candidate: 0xce, Correlation: -0.09575830340414271
Candidate: 0x76, Correlation: -0.09432876803716021
Candidate: 0x75, Correlation: -0.09379136361323226
Candidate: 0xd, Correlation: -0.09171518802991113
Candidate: 0xee, Correlation: -0.09075103777582295
Candidate: 0xc9, Correlation: -0.09057741342784921
Candidate: 0x46, Correlation: -0.08694003328204893
Candidate: 0xf1, Correlation: -0.08567105517693754
Candidate: 0x35, Correlation: -0.08485925945672114
Candidate: 0x6e, Correlation: -0.0846877149063546
Candidate: 0x5, Correlation: -0.08428118453716957
Candidate: 0xe9, Correlation: -0.08175603039170609
Candidate: 0xf9, Correlation: -0.08062964713924878
Candidate: 0x6, Correlation: -0.08042533133083588
Candidate: 0x66, Correlation: -0.07775129405594626
Candidate: 0x10, Correlation: -0.07727897933814477
Candidate: 0x15, Correlation: -0.07562394494341672
Candidate: 0xf0, Correlation: -0.07257270189207146
Candidate: 0x4e, Correlation: -0.06822502596732971
Candidate: 0xf5, Correlation: -0.06639968465767337
Candidate: 0x8d, Correlation: -0.06413781795688653
Candidate: 0x71, Correlation: -0.05978582613829357
Candidate: 0x9, Correlation: -0.05861628993480472
Candidate: 0x91, Correlation: -0.05494214033634199
Candidate: 0xd0, Correlation: -0.05462701801696388
Candidate: 0x50, Correlation: -0.05170020168903838
