Candidate: 0xa1, Correlation: -0.1109729677400508
Candidate: 0xd2, Correlation: -0.11091331691171841
Candidate: 0xb2, Correlation: -0.11052248784535056
Candidate: 0x7f, Correlation: -0.10864796331851123
Candidate: 0xc, Correlation: -0.10685814160548024
Candidate: 0x9e, Correlation: -0.10682084548184265
Candidate: 0x8f, Correlation: -0.1061326807219255
Candidate: 0x75, Correlation: -0.10607995246394274
Candidate: 0xf2, Correlation: -0.10454094192831091
Candidate: 0x15, Correlation: -0.1034832539955281
Candidate: 0x36, Correlation: -0.10284299840096846
Candidate: 0x57, Correlation: -0.10060506203436785
Candidate: 0x38, Correlation: -0.0986351555737508
Candidate: 0x20, Correlation: -0.09836961105457326
Candidate: 0x6c, Correlation: -0.09805815274535273
Candidate: 0xda, Correlation: -0.09740001293599469
Candidate: 0x67, Correlation: -0.09723396469271064
Candidate: 0x1f, Correlation: -0.09721628564708122
Candidate: 0x59, Correlation: -0.09643317985439358
Candidate: 0x2d, Correlation: -0.09484362436264077
Candidate: 0x27, Correlation: -0.09455715157266172
Candidate: 0x95, Correlation: -0.09404874383473398
Candidate: 0xaa, Correlation: -0.09369234504013436
Candidate: 0x8a, Correlation: -0.0933056629634307
Candidate: 0xf0, Correlation: -0.09322946325694292
Candidate: 0xa, Correlation: -0.0918738282170615
Candidate: 0x5f, Correlation: -0.09132597953780175
Candidate: 0x5b, Correlation: -0.09115084484223061
Candidate: 0xdd, Correlation: -0.09052609073486269
Candidate: 0xf5, Correlation: -0.08862685767754748
Candidate: 0x37, Correlation: -0.08772350892413448
Candidate: 0x1c, Correlation: -0.08673092497247524
Candidate: 0x50, Correlation: -0.08527525472520885
Candidate: 0x60, Correlation: -0.08463156904449536
Candidate: 0x90, Correlation: -0.08439101668897701
Candidate: 0x2b, Correlation: -0.0839570104824707
Candidate: 0x71, Correlation: -0.08361743607054942
Candidate: 0x5a, Correlation: -0.08348279159062524
Candidate: 0x6e, Correlation: -0.08327044091458925
Candidate: 0x70, Correlation: -0.08181667710882548
Candidate: 0x9a, Correlation: -0.07934989178806111
Candidate: 0x2e, Correlation: -0.07904217208020489
Candidate: 0x56, Correlation: -0.07858120605789308
Candidate: 0x2f, Correlation: -0.07790268427668015
Candidate: 0xf7, Correlation: -0.07755683417353172
Candidate: 0x5c, Correlation: -0.07630198092727536
Candidate: 0x17, Correlation: -0.07598752690237248
Candidate: 0x29, Correlation: -0.07591696729713153
Candidate: 0x2c, Correlation: -0.07563678618944861
Candidate: 0xf8, Correlation: -0.07541554597508604
Candidate: 0x2a, Correlation: -0.07478331245133793
Candidate: 0x6d, Correlation: -0.07477766822416382
Candidate: 0x6a, Correlation: -0.07437080041351884
Candidate: 0x16, Correlation: -0.07432310997244493
Candidate: 0x1a, Correlation: -0.07402980361026341
Candidate: 0xea, Correlation: -0.07386239703864397
Candidate: 0x6f, Correlation: -0.07335391720408477
Candidate: 0x1d, Correlation: -0.07326162761459827
Candidate: 0x30, Correlation: -0.07311868816892275
Candidate: 0x5e, Correlation: -0.07106859280930447
Candidate: 0xe, Correlation: -0.07053884606900422
Candidate: 0x9d, Correlation: -0.07034508752565488
Candidate: 0x28, Correlation: -0.06972397513931007
Candidate: 0x77, Correlation: -0.0695239704481916
Candidate: 0x19, Correlation: -0.06904179946619639
Candidate: 0x76, Correlation: -0.06878686513625062
Candidate: 0xd, Correlation: -0.06787829919709203
Candidate: 0x7a, Correlation: -0.06783181441225489
Candidate: 0x11, Correlation: -0.0674307296528597
Candidate: 0x58, Correlation: -0.0667069997294406
Candidate: 0xf, Correlation: -0.06580424725670943
Candidate: 0x5d, Correlation: -0.06548347492339944
Candidate: 0xed, Correlation: -0.06531990211914146
Candidate: 0x18, Correlation: -0.06470766401601606
Candidate: 0x69, Correlation: -0.06454376814603026
Candidate: 0xf1, Correlation: -0.06295015226621442
Candidate: 0xe9, Correlation: -0.06292951871704927
