Candidate: 0x52, Correlation: -0.1026624360111332
Candidate: 0x73, Correlation: -0.1026388706941257
Candidate: 0x8e, Correlation: -0.10152972681355789
Candidate: 0x84, Correlation: -0.10139814660175003
Candidate: 0x50, Correlation: -0.10138037957844531
Candidate: 0xe2, Correlation: -0.10093460716391081
Candidate: 0x56, Correlation: -0.10042897379055435
Candidate: 0x53, Correlation: -0.0998173443879417
Candidate: 0x10, Correlation: -0.09968112445571087
Candidate: 0x3f, Correlation: -0.09867265063729388
Candidate: 0xce, Correlation: -0.09850934500043458
Candidate: 0xbf, Correlation: -0.09719669967084295
Candidate: 0x92, Correlation: -0.09675420329322622
Candidate: 0xf7, Correlation: -0.09640076578021178
Candidate: 0x40, Correlation: -0.09630462271035893
Candidate: 0x13, Correlation: -0.09615871863365426
Candidate: 0x54, Correlation: -0.09593739932161861
Candidate: 0x42, Correlation: -0.09500849699135347
Candidate: 0xfc, Correlation: -0.09482106013692057
Candidate: 0x57, Correlation: -0.09478712489136379
Candidate: 0xc2, Correlation: -0.09465138016290975
Candidate: 0x76, Correlation: -0.09443488202125892
Candidate: 0xc4, Correlation: -0.09369352705202134
Candidate: 0x90, Correlation: -0.09339799877212145
Candidate: 0xcf, Correlation: -0.09265476703062021
Candidate: 0x8f, Correlation: -0.09203861329619067
Candidate: 0x5e, Correlation: -0.09054173863052487
Candidate: 0xde, Correlation: -0.08743688181399609
Candidate: 0xf2, Correlation: -0.0861377228953178
Candidate: 0x2, Correlation: -0.08599895135390553
Candidate: 0xff, Correlation: -0.08511544869693306
Candidate: 0x72, Correlation: -0.08405456386309716
Candidate: 0x83, Correlation: -0.08293171184321432
Candidate: 0xf6, Correlation: -0.08280323420869022
Candidate: 0xfb, Correlation: -0.08254449119031744
Candidate: 0x5b, Correlation: -0.08250124399520666
Candidate: 0x5c, Correlation: -0.08214065668090546
Candidate: 0xf, Correlation: -0.0812284669573162
Candidate: 0x7e, Correlation: -0.08093420469737163
Candidate: 0xf4, Correlation: -0.08020394541002318
Candidate: 0xc3, Correlation: -0.07766641879483026
Candidate: 0x43, Correlation: -0.07687250001076638
Candidate: 0x7f, Correlation: -0.07640071217864894
Candidate: 0x7c, Correlation: -0.07188950413093806
Candidate: 0x3, Correlation: -0.07146395192094875
Candidate: 0xd4, Correlation: -0.07143318658084653
Candidate: 0xd2, Correlation: -0.07002377510539631
Candidate: 0xd3, Correlation: -0.06905005513080058
Candidate: 0x82, Correlation: -0.06720798711244894
Candidate: 0x74, Correlation: -0.0650943515413707
Candidate: 0xdc, Correlation: -0.06304200753612552
