Candidate: 0x2c, Correlation: -0.16378160162066333
Candidate: 0x1, Correlation: -0.16237868325644472
Candidate: 0x8c, Correlation: -0.16081371053097188
Candidate: 0xdc, Correlation: -0.1580308766369724
Candidate: 0xe9, Correlation: -0.15723979732172252
Candidate: 0x7e, Correlation: -0.15618396825043243
Candidate: 0x15, Correlation: -0.15547433880895262
Candidate: 0x59, Correlation: -0.15537415214707284
Candidate: 0xe2, Correlation: -0.15466850435445623
Candidate: 0xe4, Correlation: -0.15332717009534663
Candidate: 0x54, Correlation: -0.15321681742584306
Candidate: 0xe1, Correlation: -0.1529794796681098
Candidate: 0x6c, Correlation: -0.15194367003038906
Candidate: 0x9c, Correlation: -0.1496151400083756
Candidate: 0xc4, Correlation: -0.14861144562630096
Candidate: 0xaf, Correlation: -0.14814552042398552
Candidate: 0x11, Correlation: -0.1478985278320322
Candidate: 0x84, Correlation: -0.14766936157227428
Candidate: 0x4, Correlation: -0.1472178351730075
Candidate: 0x9d, Correlation: -0.14721157014899236
Candidate: 0x55, Correlation: -0.1471252899334032
Candidate: 0xb5, Correlation: -0.1467869790329983
Candidate: 0xae, Correlation: -0.14411810934489297
Candidate: 0x7c, Correlation: -0.1433448201532881
Candidate: 0xee, Correlation: -0.1433210477943551
Candidate: 0xc, Correlation: -0.14238851674204042
Candidate: 0xe8, Correlation: -0.1411136134914637
Candidate: 0x6e, Correlation: -0.1410956817911297
Candidate: 0x4e, Correlation: -0.1408818013708292
Candidate: 0xb9, Correlation: -0.1406587723088342
Candidate: 0x51, Correlation: -0.13880942081080702
Candidate: 0x4f, Correlation: -0.13840532782149254
Candidate: 0xd, Correlation: -0.13799332105251794
Candidate: 0x78, Correlation: -0.13515859419802495
Candidate: 0x4c, Correlation: -0.1343776792439179
Candidate: 0xe7, Correlation: -0.1319777009083004
Candidate: 0xa4, Correlation: -0.13149937081720203
Candidate: 0x6, Correlation: -0.13110970650444465
Candidate: 0xfd, Correlation: -0.1311039430846742
Candidate: 0x71, Correlation: -0.1305768542752647
