Candidate: 0x92, Correlation: -0.13524446425953177
Candidate: 0xdb, Correlation: -0.13487372163228653
Candidate: 0x4e, Correlation: -0.13434354472531998
Candidate: 0xd0, Correlation: -0.13374928201892103
Candidate: 0xb7, Correlation: -0.13349017325448417
Candidate: 0xe3, Correlation: -0.13246890350045248
Candidate: 0x10, Correlation: -0.13065851975275652
Candidate: 0xcb, Correlation: -0.12993323729064965
Candidate: 0xd3, Correlation: -0.12986494731268225
Candidate: 0x16, Correlation: -0.12984640057758354
Candidate: 0x1, Correlation: -0.12809436982203048
Candidate: 0x2c, Correlation: -0.1263795138951585
Candidate: 0x24, Correlation: -0.12620071001489166
Candidate: 0x65, Correlation: -0.12551514608845243
Candidate: 0xd5, Correlation: -0.12374998513703772
Candidate: 0x8, Correlation: -0.12244685737377403
Candidate: 0x52, Correlation: -0.12195704388081426
Candidate: 0x6, Correlation: -0.12171879073553339
Candidate: 0x28, Correlation: -0.12107594173292845
Candidate: 0xbd, Correlation: -0.12023422417766683
Candidate: 0x45, Correlation: -0.12019417115409005
Candidate: 0xf3, Correlation: -0.12017837068942479
Candidate: 0xc8, Correlation: -0.12003823042889288
Candidate: 0xae, Correlation: -0.119106833853543
Candidate: 0xbc, Correlation: -0.11800492093065584
Candidate: 0xc9, Correlation: -0.11799788757930658
Candidate: 0xdd, Correlation: -0.11610865355253579
Candidate: 0x42, Correlation: -0.11559567353605904
Candidate: 0xee, Correlation: -0.113305095268822
Candidate: 0xc1, Correlation: -0.1130518452651037
Candidate: 0x36, Correlation: -0.11274104546912517
Candidate: 0xb2, Correlation: -0.11251922610857047
Candidate: 0xc0, Correlation: -0.11155351957112726
Candidate: 0xe5, Correlation: -0.10937941710802368
Candidate: 0x2a, Correlation: -0.10846064991176937
Candidate: 0xac, Correlation: -0.10839180016787578
Candidate: 0xfd, Correlation: -0.1070298983840082
Candidate: 0x54, Correlation: -0.10684026715794798
Candidate: 0xd, Correlation: -0.10577701815690567
Candidate: 0xd1, Correlation: -0.10471002021692037
Candidate: 0xd4, Correlation: -0.10435542821167479
Candidate: 0x5, Correlation: -0.1006584769694352
Candidate: 0xb6, Correlation: -0.10013010556425593
Candidate: 0xba, Correlation: -0.10008955296855704
Candidate: 0x34, Correlation: -0.09959522220334162
Candidate: 0x4, Correlation: -0.09942092378846135
Candidate: 0xf5, Correlation: -0.09940907187730097
Candidate: 0xf2, Correlation: -0.09932394965945526
