Candidate: 0x58, Correlation: -0.15069016931541465
Candidate: 0xf3, Correlation: -0.1505684778749137
Candidate: 0x70, Correlation: -0.14900950754310782
Candidate: 0xf1, Correlation: -0.14894717199977933
Candidate: 0x8b, Correlation: -0.14821755169114195
Candidate: 0x1, Correlation: -0.14767368427107436
Candidate: 0x0, Correlation: -0.14593951953782358
Candidate: 0x7f, Correlation: -0.14368764217744232
Candidate: 0xe1, Correlation: -0.14337446106355253
Candidate: 0xf2, Correlation: -0.14316070509198828
Candidate: 0x57, Correlation: -0.14231204073308346
Candidate: 0xf0, Correlation: -0.14133655211941268
Candidate: 0x3b, Correlation: -0.14122124023775443
Candidate: 0xdc, Correlation: -0.1409416171987151
Candidate: 0x77, Correlation: -0.13798945978181482
Candidate: 0xe, Correlation: -0.13781141551243822
Candidate: 0x81, Correlation: -0.13528538205043034
Candidate: 0x3, Correlation: -0.13444498591345216
Candidate: 0x32, Correlation: -0.1340694919556688
Candidate: 0x61, Correlation: -0.13387542844000455
Candidate: 0xf, Correlation: -0.13377464849271978
Candidate: 0xe5, Correlation: -0.1333479210297108
Candidate: 0xf5, Correlation: -0.13011621880238136
Candidate: 0xde, Correlation: -0.12882068345637665
Candidate: 0x97, Correlation: -0.1283852015976241
Candidate: 0xd2, Correlation: -0.12699298632162606
Candidate: 0xf4, Correlation: -0.12458466345755172
Candidate: 0xcf, Correlation: -0.12208547400164645
Candidate: 0x53, Correlation: -0.121738449203342
Candidate: 0xdf, Correlation: -0.12141678553763798
Candidate: 0x1d, Correlation: -0.12046963138811531
Candidate: 0x4e, Correlation: -0.12045117787882638
Candidate: 0x3d, Correlation: -0.12044219157022877
Candidate: 0x51, Correlation: -0.11808398132799039
Candidate: 0xaf, Correlation: -0.11602453232161956
Candidate: 0xe0, Correlation: -0.11458818427942642
Candidate: 0xd1, Correlation: -0.11395363702016464
Candidate: 0x5f, Correlation: -0.11312784446593417
Candidate: 0xce, Correlation: -0.11058885709659404
Candidate: 0xd3, Correlation: -0.10945841219356797
Candidate: 0x8d, Correlation: -0.10439580513464772
Candidate: 0x83, Correlation: -0.1040279770506231
Candidate: 0x33, Correlation: -0.10003543969541487
Candidate: 0x75, Correlation: -0.09893686372295235
Candidate: 0x13, Correlation: -0.09736784798937524
Candidate: 0x4f, Correlation: -0.09700709438758313
Candidate: 0x5, Correlation: -0.09596816983011414
Candidate: 0x1b, Correlation: -0.09535171536570464
Candidate: 0xed, Correlation: -0.09469014648268623
Candidate: 0xb3, Correlation: -0.0929110379030339
Candidate: 0xd0, Correlation: -0.09283849904011919
Candidate: 0x71, Correlation: -0.08983508507556832
Candidate: 0xe3, Correlation: -0.08935255811098973
Candidate: 0xeb, Correlation: -0.08845812193867375
Candidate: 0x8f, Correlation: -0.08812214953702625
Candidate: 0xd5, Correlation: -0.08663492524280585
Candidate: 0x73, Correlation: -0.07970273335154816
Candidate: 0x35, Correlation: -0.0753941566586398
Candidate: 0x6f, Correlation: -0.06387967063816313
